post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxwxak,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucla', 'ucdavis']",fucking stupid take extra 5 seconds clock
16ktcfe,k0zvrck,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['ucdavis', 'california2']",since fell asleep missed travis injury thats real bummer pac 12 dark strikes long day coach hyping gameday oh god thirty morning
15x72y0,jx515o7,teams biggest celebrity fan,im sure talked makes interesting conversation osu handful biggest probably lebron,['ohiostate3'],"['ucla', 'ucdavis']",mark harmon qualifies former player celebrity
16e7uxq,jzupua4,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucdavis', 'oklahoma']",salt rising im
15q54f1,jw1dq7a,favorite rivalry aside favorite teams,one look forward doesnt involve favorite teams id go iron bowl seems like auburn always gets matter made awesome games moments shout army navy well love pageantry tradition,"['harvard', 'vanderbilt']","['ucdavis', 'southernmiss']",brawl wild great seeing banter montana montana fans build since montana doesnt pro sports teams d1 universities seems like whole invested also usually sort playoff implications
189wh00,kbun8dd,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['ucdavis', 'clemson']",honestly curious think would put fsu put bama couldnt leave seems like justify fsu note kind rational selection criteria shouldnt make difference think demonstrated playoff committee furtherst thing rational selection criteria
189wh00,kbv4jw7,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['ucdavis', 'clemson']",every single person things getting better team right call none sp fpi sagarin power rankings explicitely judging teams power predicting future results top 4 getting still doesnt make sense concerned picking best 4 teams makes sense care exact right blend power onfield results conference championships results getting
172f8wn,k3wh3yf,postgame defeats 3430,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['ucdavis', 'california2']",didnt dog fight amused horns banner someone gonna get vandalized
18w6kt1,kfw9v1w,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['california', 'ucdavis']",flag flopped sure
18w6kt1,kfwcb2y,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['california', 'ucdavis']",heard first depression meditate
18w6kt1,kfwuax7,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucdavis', 'california']",cowboys choking playoffs every year
18w6kt1,kfwwxwt,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucla', 'ucdavis']",shitty special teams mich gotta go 2 get
172s434,k40v29e,postgame usc defeats arizona 4341 3ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['ucdavis', 'california2']",reading morning daaaaaaang wildcats almost
16k5rz7,k0ubguw,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['ucdavis', 'navy']",putting iceberg show floating sea
169aftq,jz1cnoc,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucdavis', 'oklahoma']",treating groundscrew catered food wholesome good job cfa
16eb4h6,jzu9gsj,charleston southern clemson 215,charleston southern location clemsonfclemson memorial clemson sc time 215 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['clemson2', 'orange']","['ucdavis', 'clemson']",im mentally prepared third year terrible offense please please let last week week 1 jitters
16eb4h6,jzuil8f,charleston southern clemson 215,charleston southern location clemsonfclemson memorial clemson sc time 215 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['clemson2', 'orange']","['ucdavis', 'clemson']",freely admit ive never someone really good nutsandbolts understanding ive never played havent fan long know teams people look better playing lower competition make hard judge things canshould looking good indicators regardless level competition
16eb4h6,jzun9fx,charleston southern clemson 215,charleston southern location clemsonfclemson memorial clemson sc time 215 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['clemson2', 'orange']","['ucdavis', 'clemson']",apparently sending dju clemson got last seasons offense return good ground mediumtobad passing plagued turn overs
16eb4h6,jzuorgm,charleston southern clemson 215,charleston southern location clemsonfclemson memorial clemson sc time 215 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['clemson2', 'orange']","['ucdavis', 'clemson']",cant decide decreased amountlength commercials accn better dont annoyance commercial breaks worse fewer breaks watching offense
182v9ux,kalvo56,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'ucdavis']",im even fan teams parents upset much cursing tv
16kp4v1,k0zx0zb,postgame south defeats 337,box score provided team 1 2 3 4 south made rcfb,['rcfb'],"['ucdavis', 'california2']",ok familiar south actual crazy good lowerdivision team osu real problems like wasnt shocked sac beat stanford sac went deep playoffs last year stanford came play school please note flairs say lot respect sac also playing old coach personal thats know teams well
