post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
15q1cwp,jw2iaog,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['maryland', 'ucriverside']",played 2010 terps 210 randys first year
1621ag8,jxv0hea,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['indiana', 'ucriverside']",literally american caricature irish stereotype marching streets dublin actual fuck
168fx8i,jyvu30q,west virginia penn 730,west virginia penn location penn statefpennstate beaver time 730 watch tv nbclnbc odds spread psu 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['indiana', 'ucriverside']",stop fellating small business owners uneducated incompetent abusive assholes think law doesnt apply theyre job creators whatever
168fx8i,jyvxowc,west virginia penn 730,west virginia penn location penn statefpennstate beaver time 730 watch tv nbclnbc odds spread psu 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['indiana', 'ucriverside']",whole bang drum thing cringier pillow talk night lost virginity
1896p8u,kbpqmik,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'ucriverside']",uh universe nations premier landgrant university purdue ugh landgrant university ohio landgrant university university californiafar away top public university worldis landgrant university
183xb4n,karyb2h,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'ucriverside']",often snow games happen college usually get year nfl college december hand theres order magnitude college games total plus played covered stadiums
189it1b,kbu4g9l,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['clemson', 'ucriverside']",play games might well look rosters make playoff without wasting time regular season
189it1b,kbu6650,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['clemson', 'ucriverside']",thank god expanding next year awful fsu absolutely robbed hope win bowl claim national championship
17yj89b,k9tsk2b,nebraska wisconsin 730,location camp randall time 730 watch tv odds spread wis 6 overunder 365 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'ucriverside']",aged drum corps camp randall lets go badgers guess
15i50ve,jusbrhr,washington join big ten leave pac12,nan,['georgia2'],"['clemson', 'ucriverside']",lol think wanted guaranteed playoff spot champion
168jxt0,jywcpoh,coastal carolina ucla 1030,coastal carolina uclafuclaucla location uclafucla rose bowl time 1030 watch tv espnlespn odds spread ucla 145 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate3', 'georgia']","['ucla', 'ucriverside']",yall think gonna see garbers kelly keeping leash tight
168jxt0,jywe4by,coastal carolina ucla 1030,coastal carolina uclafuclaucla location uclafucla rose bowl time 1030 watch tv espnlespn odds spread ucla 145 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate3', 'georgia']","['ucla', 'ucriverside']",ugh extracurricular action guys whistle gonna cost us point
168jxt0,jywtsw9,coastal carolina ucla 1030,coastal carolina uclafuclaucla location uclafucla rose bowl time 1030 watch tv espnlespn odds spread ucla 145 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate3', 'georgia']","['ucla', 'ucriverside']",gonna talk whats happening nah
16a716p,jz6moe5,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['clemson', 'ucriverside']",cant right rule swear never applied way
15jaosk,juyz0ew,fans actually excited joining big 12,know watching conference blow suckswe big 12 fans almost went thing seems like many yall view big 12 beneath youthe least worst option fresh youre angry pac 12 leadershipthe situation truly attitude expect yall going forward really happy soon done dealing arrogance ut fans im starting worry went frying pan fire bringing yall far entitled negative nancies around go,[],"['utah', 'ucriverside']",honest answer never paid attention schools big 12 find matchups boring dont know anything friends colleagues pac12 schools huge loss
166pzdt,jylzszt,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['ucla', 'ucriverside']",serious question florida invested mertz point might see pulled
17sxe8a,k8t8hi4,tech clemson 1200,tech location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'ucriverside']",asshole invaded rimworld colony guess im tech fan
1689xu6,jyuqr54,ohio indiana 330,ohio location indianafindiana memorial bloomington time 330 watch tv cbslcbs odds spread osu 30 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate2', 'toledo']","['indiana', 'ucriverside']",clock closeup supposed bizarre uninformed reference corso photo something
1689xu6,jyuxt3q,ohio indiana 330,ohio location indianafindiana memorial bloomington time 330 watch tv cbslcbs odds spread osu 30 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate2', 'toledo']","['indiana', 'ucriverside']",taunting call legit tbh miming like youre sticking sword guy hes shitheel behavior
17d4h6j,k5v76s4,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'ucriverside']",fumble gonna huge position battle
