post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17sh21c,k8q2l9s,rosenberg last week michigans regents discussed leaving big ten jim harbaugh suspended without believes due process source tells si espn reported suspension 30 mins b1g informed um michiganpetitti fight,nan,['ohiostate'],"['usc', 'ucsb']",boss catches till wrongdoing gracefully accept slap wrist hell double like crybaby bitch jump grenade threw thats wolverine way
193kzx5,kha5qp1,mcmurphy oregons dan lanning expected top target replace saban source told actionnetworkhq,nan,"['utep', 'florida2']","['oregon', 'ucsb']",point consider head coaching position really one big money laundering scheme
16weuex,k2x1dgw,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",memphis gets ball start 3rd bsu gonna 2117 time
16weuex,k2x6onn,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",shouldve grounding call well qb squarely pocket
16weuex,k2xglpw,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",beth mowins everything drum interest nice come arent getting onside
17ifk69,k6v8ohq,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",kansas still found way fuck went inbounds play didnt go play
17ifk69,k6v8ztt,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",kansas could ran clock 10 seconds kicked 22 yard goal win better option
168ljy6,jywaxu2,postgame defeats baylor 4231,box score provided team 1 2 3 4 made rcfb,"['louisiana', 'hirosaki']","['usc', 'ucsb']",dave youre interested dc position next season lets talk
172mpmi,k3yehuk,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",ball actually got hold fairly quickly kickers swing leg regardless whats happening know basically impossible
172mpmi,k3yem9x,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",im charge offenses defenses play time ot opposite ends
172mpmi,k3yfojr,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",jesus take back criticism thats standard 2 point play
172mpmi,k3yg216,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",stupid well played nice arizona always go 2 win
172mpmi,k3yghz5,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",fisch looks like less moron clear idea run 2 yard line
16wjz1a,k2ya2o9,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",distance apparently isnt problem nd kicker kick goal
1783iuf,k4xzca5,boise colorado 945,boise colorado location colorado canvas time 945 watch tv fox sports 1lfs1 odds spread bois 75 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",gotta stay immediately least offense get set wind clock theres runoff
17imm0u,k6x1fvr,postgame kansas defeats 3833,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['pittsburgh', 'ucsb']",im sorry says kansas beat damn typos oh well back bed
16knfug,k0xemgr,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",id take receiver bsus qb wants transfer
16knfug,k0xgq81,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",changed clock rules still going longest first quarter history
16knfug,k0xz4x2,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",coaches always preach toughness believing 4th 2 basically win sudden punt team trotting norvell like every scared coach
16knfug,k0xzc3s,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",csu shooting foot screaming ammo
16knfug,k0xzneg,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",csu somehow manages get td go 2
16knfug,k0y1n85,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",2 yards win said nah lets go another ot
15i7791,jusnd6t,sad day fellow beavs cougar brethren,first sportteam fell love kid took first trip reser next year magical fiesta bowl season growing pretty even mix beaver duck fans friend group grade school every fall carried usual banter among us point neither program clearly ahead shared history mediocrity occasional flashes great remember excitement pride mom bought first jersey immediately slipped pads next practice early 2000s exciting time teams saw success programs growing every thanksgiving looked forward civil wars years elated others cope eating leftovers team lost time moved forward help prolific alumni pulled ahead level beaver fans knew couldnt match shouldve seen writing wall know fans chime say always little brother reality prior phil going peers disappointing win loss total could okay long beat rival atleast bragging rights next year still pulled ahead rooted supported made trek reser support team one wed grown sporting obnoxiously bright orange weve grown love trudged end mike riley years beacon hope gary andersen promising first year things fell apart new lows didnt think possible became joke program days dark still us faithfully went reser supporting guys many losses hope one day wed turn around enter jonathan smith legendary qb fiest bowl team comes home take reigns first year rough saw going year things improved little reason excitement corvallis wasnt one faithful heading reser began fill reser rocking smith built good little program corvallis 10 wins last year heading anticipated season years dj pans legitimate shot compete pac12 championship todays news sucks wind sails immediate future questions impact recruiting keep coaching staff together longer term wonder ability smaller sports theyll able survive though single greatest tragedy seeing tradition grew dying knowing want able share kids like grandpa shared know many say happened youre right wasnt didnt get sucks way tv money tearing everything made us fall love college certainly feels like us getting cut canary coal mine think two things certain future foxespn continue shave teams theyve got top 32 short term teams benefit greatly financially truth im predicting comes fruition 90 programs cut youll end nfl lite many people wont care watch nfl always king second tier pro program isnt going support know interest disconnected league schools zero connection ill wait watch guys sundays saturdays keep watching beavs cougs beat piss blunt say way im glad grandpa wasnt alive day certainly wouldve killed spirits solidarity cougar brethren ive added secondary flair beaver nation till die,"['oregonstate', 'washingtonstate']","['usc', 'ucsb']",certainly sucks two dont mean sound dismissive nonempathetic carried extent larger brands decades starting five six years ago b1g sec began signing media deals double pac writing wall arms race brewing subsidies probably werent going last forever osu wsu ads making north 800k id like think saw possibility coming contingency plans ready
18ekefp,kcoxhcu,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",definitely hit foot video shows reaction shows
196sdck,khvww56,true uw getting fisch feel pretty soured cfb right,feels like uw arizona bama feels pretty grimy tbh im sure trending direction uw fan alum seeing close like pretty brutal brutal uw feel arizona team fans whats point developing players coaches success doesnt matter might get deleted basically rant sucks around imo know uw similar thing fresno maybe im beating dead hypocritical horse blows,"['washington', 'ucf']","['usc', 'ucsb']",hire combo hc helton dc grinch oc b ferentz arizona hire saban lanning decide stupid tattoo subtle grab nfl job add phil knight decides enough enough time short takes hc role itll work end
169eu9x,jz1dx70,bestworst experience away fan,im wyoming fan wyomingtexas tech last night always try hospitable possible away fans many friendly conversations tech fans even im curious best worst experiences youve away fan,"['wyoming', 'nebraska']","['usc', 'ucsb']",cal fans suck college kids least luckily theres many washington fans pretty cool part good anywhere else suspect
15i4lvq,jus9vi5,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucsb', 'ohiostate']",bay area college likely dead super sad
17ikiis,k6w3b70,usc california 400,uscfuscusc location california memorial time 400 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucsb', 'usc']",lets hope riley doesnt subscribe mario cristobal school clock management
16qbmz1,k1wnjtl,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",dock fight like month ago nobody gives shit anymore gma
16qbmz1,k1wtdot,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",yes jesse im sure colorado felt disrespected outcome would different stupid
16qbmz1,k1wveyg,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",coach walking like hes squeezing shit
16keh8t,k0w870c,usf 330,usffusfusf location usffusf raymond james time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'ucsb']",know people dont like rather enjoy wide camera views cant stand close shots qb passing plays idea receiver switch camera right ball gets give wide view
