post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
15ixvfm,jv10zew,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],['uisi'],come mw osu wsu isnt bad everyone saying lot good rivalries already make
15ixvfm,jv131z1,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],['uisi'],better fbs conference member mac never worry poached conference travel reasonable regional long standing rivalries fan ticket prices affordable
15knp1o,jv715iv,rumor big ten likely move 10 conference schedule following recent expansion,nan,"['michigan3', 'tulane']",['uisi'],eventually need add another schedule grew 11 seasons 12 13 may future
16a07so,jz93hs4,college massive commercial problem,nan,"['rose', 'bigten']",['uisi'],decided get cable season ota nothing regretting
168ljy6,jywg0k5,postgame defeats baylor 4231,box score provided team 1 2 3 4 made rcfb,"['louisiana', 'hirosaki']",['uisi'],baylor fans 2022 keep grubby hands away aranda nebraska baylor fans 2023 fire aranda
15i50ve,jusqeaq,washington join big ten leave pac12,nan,['georgia2'],['uisi'],guess end osu wsu fun cya logan
163bvys,jy2pq8p,misconceptions first followed college,started watching 1996 arizona went undefeated jake plummer losing rose bowl thought arizona team beat college florida national title like well thats cause didnt play arizona remember getting sports illustrated college preview magazine 1997 season like arizona ranked low context thought 1996 normal season lol,['pennstate'],"['uisi', 'stirling']",chose random fan dress team every home
15h25pp,jum4e4f,yall im little depressed wanted rant little bit,love college ever since kid college saturday favorite day centered washington growing remember watching every dad games werent tv going drive listen bob robertson call radio even went school suffer paul wulff teams among worst country still found way enjoy sometimes always hope things would turn around money whims espn fox going destroy team athletic department wsu team tiny remote city much tradition going left best tv ratings pac12 famous passionate fanbase matter bad team see paul wulff era none matters middle nowhere small group executives board room somewhere dont think big enough name yeah know team still around mountain west welcome us open arms still martin 2024 paper wsu mwc seem like pretty good fit make mistake move cripple washington athletics know wsu visionary leadership bill moos bet big big money pac12 tv contract little decade ago basically took loans build expensive new complex buildings bet big expensive big name coaches like mike leach shiver ernie kent spent money like going style larry scott told would know turned despite major cost cutting measures past years wsu still pretty major debt staring idea going making 35 million tv money little 4 million practically night consequences going devastating dont know theyre going going ugly long time top im depressed sport whole wsu fans going beaver friends likely right us plenty around corner big money schools continue consolidate little little passion tradition makes college special whittled away left cheaper younger worse version nfl month away kickoff enthusiasm time low care sport obviously doesnt care school could miracle year win national championship none would matter fate 2024 beyond sealed years ago nothing could sucks sorry rambling wanted voice feeling people might sympathize level thanks reading,"['washingtonstate', 'easternwashington']",['uisi'],little little passion tradition makes college special whittled away osu wsu mountain west allow escape lot wrong college today takes big money equation form new rivalries traditions schools like bsu absolutely passionate
15h25pp,jun5hj6,yall im little depressed wanted rant little bit,love college ever since kid college saturday favorite day centered washington growing remember watching every dad games werent tv going drive listen bob robertson call radio even went school suffer paul wulff teams among worst country still found way enjoy sometimes always hope things would turn around money whims espn fox going destroy team athletic department wsu team tiny remote city much tradition going left best tv ratings pac12 famous passionate fanbase matter bad team see paul wulff era none matters middle nowhere small group executives board room somewhere dont think big enough name yeah know team still around mountain west welcome us open arms still martin 2024 paper wsu mwc seem like pretty good fit make mistake move cripple washington athletics know wsu visionary leadership bill moos bet big big money pac12 tv contract little decade ago basically took loans build expensive new complex buildings bet big expensive big name coaches like mike leach shiver ernie kent spent money like going style larry scott told would know turned despite major cost cutting measures past years wsu still pretty major debt staring idea going making 35 million tv money little 4 million practically night consequences going devastating dont know theyre going going ugly long time top im depressed sport whole wsu fans going beaver friends likely right us plenty around corner big money schools continue consolidate little little passion tradition makes college special whittled away left cheaper younger worse version nfl month away kickoff enthusiasm time low care sport obviously doesnt care school could miracle year win national championship none would matter fate 2024 beyond sealed years ago nothing could sucks sorry rambling wanted voice feeling people might sympathize level thanks reading,"['washingtonstate', 'easternwashington']","['uisi', 'stirling']",least still access watching living europe espn europe thats cancelled
15k6ztw,jv51nxc,scheer hearing san diego preliminary talks big 12 last 48 hours key word preliminary would discounted rates,link,"['ucf', 'usf']",['uisi'],wazu osu please someone adopt us cant stand apart big12 interested osu osu strange team
15i60nk,jusd989,big ten reportedly contemplating whether expand stanford recent washington additions,,['ohiostate'],['uisi'],west coast wrapped time wait 13 years unc
18wi2m2,kfykoq7,postgame washington defeats 3731,box score provided team 1 2 3 4 made rcfb,['rcfb'],['uisi'],see last real rose bowl played national championship poetic
15gfjql,juj1i15,group big ten presidents begun exploratory discussions expansion light pac 12 uncertainty industry sources tell yahoo sports focus possibly adding washington move 18 members cal stanford reach 20,nan,"['georgia', 'cfp']",['uisi'],reason new members cant forced partial share permanently cal stanford really leverage
15gfjql,juj1ogf,group big ten presidents begun exploratory discussions expansion light pac 12 uncertainty industry sources tell yahoo sports focus possibly adding washington move 18 members cal stanford reach 20,nan,"['georgia', 'cfp']",['uisi'],say mountain west plus osu wsu rice smu would really fun
