post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxfyp0,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'umass']",feet ahead line also leaning backwards back shoulder close hard tell without good camera angle
15ixvfm,juwmszm,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],"['holycross', 'umass']",realignment lead parity throughout conferences something sport severely lacking
16e7uwk,jzu1eds,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'umass']",penalty aside flea flicker weird offensive choice general slow developing plays defensive line thats getting penetration often lead disaster fortunately bailed kicker cannon shrader hit 54 yarder room spare
16e7uwk,jzuyjv9,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'umass']",gently tapping qbs helmet penalty chokeslamming sam hartman thats cool
16e7uwk,jzv4aec,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'umass']",im trying reduce stress dualscreening stream guy going world record consecutive pogo hops charity drive nd gets huge int reducing stress pogo guy started heavily coughing less 500 record
16e7uwk,jzv4nze,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'umass']",everyone complained running middle muchthat get point hopefully put team way get wide open pa play
16e7uwk,jzvam4r,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'umass']",glad youre us im glad
16ktcfe,k0y2atz,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],['umass'],dont mind storming honestly long fcs team blatant cupcake fbs team like new mexico rivalry
16ktcfe,k0z6u05,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['ohiostate', 'umass']",imagine storming heavy betting favorite lol
183rfxa,karj1m9,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['umass'],idea cant flag 26 something
183rfxa,karlaix,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['umass'],fourth foot line rivalry week made
183rfxa,karn6mk,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['umass'],timeout auburn burned looking important right
18dpd4q,kck1jlg,everyone focused fsu giving pass,head coach suspended twice season cheating scandals recruiting violations sign stealing scandal weakest regular season schedule playing 2 teams mattered weakest conference championship win still got ranked 1 despite undefeated team left cheaters played weak schedule likely victories year vacated anyway committee didnt questions everyone distracted fsu,"['hawaii', 'oregon']","['alabama2', 'umass']",yep ive saying week apparently according pundit bobbleheads rcfb posters 1 beating twotime defending champs undisputed 1 team two years recordbreaking 29 games row winning conference illegitimate route playoffs 2 literally cheating year totally legitimate route playoffs fucking insane ohio fans posting theyre rooting rivals got caught cheating beat guys got winning big restore honor sport mental illness level hating right
17807o5,k4x7tmn,auburn lsu 700,lsuflsulsu location lsuflsu tiger la time 700 watch tv espnlespn odds spread lsu 11 overunder 620 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['umass', 'chaos']",lsu offense blowing keep rolling like could end playing sec championship
18aie6x,kc06cw2,ohio quarterback kyle mccord entered transfer portal,made rcfb recruiting post,['michigan'],"['iowa', 'umass']",wonder nil means fans feel entitled criticize even threaten players
17ijvyn,k6v7w9y,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'umass']",ok think im afraid beavers rest uw regular szn schedule
16f0btp,k059krh,honest questionwhy nebraska bad,theyve burned coaches athletic directors quarter backs etc yet theyve continued fall farther farther ever since early 2000swhy ive never seen program elite fall cliff long,[],"['nebraska', 'umass']",small pocket husker fans honestly think fired bo failed 23 good players roster every year erased mistakes early years yes callahan recruits ie suh helu niles paul etc 2010 martinez lavonte david alfonzo denard 2011 burkhead martinez jared crick list goes every year 23 conference even american level players erased everything werent always big time 5 star recruits see abdullah crick dennard amukamara etc guys got developed succeeded rob zatechka former nebraska ny giants lineman podcast called doc talk really informative program someone program years ago talked demise bo forget went maybe jeff jamrog someone first hand knowledge program according guest bo would second guess gameplan big games couple times year would change completely night team hotel led defensive blunders grew accustomed experiencing im sure much college fans whole remember vividness bos tenure nebraska schools win 9 games every year short blip example good stable program lets say keep bo 2015 lets say goes 57 fire know eichorst never wouldve let happen keep tommy armstrong jordan westerkamp david santos next guys nebraska keeps momentum going opinion bo never going coach us cfp bo may never us b1g title guy got awful shake hindsight 2020 wouldve much rather let bo fail obligatory bo mean
188vvkf,kbndywt,postgame washington defeats 3431,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['washington', 'umass']",scored 3 points first drive really started things well top oregons defense gassed last quarter
17deytd,k5x7wc4,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['umass', 'chaos']",utahs operation little rough end crazy thing walk backup qb flawless mistakes coaches
17deytd,k5x81fj,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['umass', 'chaos']",hey made great win utah theyve tough team beginning one favorite programs
18uo86j,kfm96ar,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['maine', 'umass']",would angry teammates coach florida players
18uo86j,kfmm5z9,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama2', 'umass']",best players sulking didnt get ranking wanted left rest team get manhandled national tv team legit flex fsu fans seem think
