post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172dawp,k3wpoh3,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",saw brian get shit beat weenie hit jrs last week
172dawp,k3wsh71,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",watch 4th quarter get episode poker face inside two wolves one coat teeth lame hind legs
16qmian,k1xxvdd,postgame penn defeats 310,box score provided team 1 2 3 4 iowafiowa00000 penn made rcfb,['rcfb'],"['iowa', 'upperiowa']",tried read iowas offensive stats espn saw lyrics cannibal corpse song wtf
16jmdcy,k0s5yt5,work ncaa compliance ama,removed,[],"['iowa', 'upperiowa']",school going investigate gambling among student athletes
16eokoj,jzwlyml,postgame defeats 3424,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['iowa', 'upperiowa']",time start talking kids back
16qh8i7,k1xvtn4,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",brian ferentz makes whiskey coke pappy van winkle 23
16kehcu,k0vzlw7,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",dirge current
17df8ox,k5wf3v7,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['iowa', 'upperiowa']",fuck coaches administrators donors acceptable send ferentzs back naia frickin belong screw
17nrxjh,k7twuyi,northwestern 330,iowafiowaiowa location wrigley time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",deacon hill one portillos cake shake away tackle
17nrxjh,k7ukh7b,northwestern 330,iowafiowaiowa location wrigley time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",someones gonna climb 10 foot pit score touchdown end
16g9ukn,k07jbfz,trivial cfb things drive nuts,puzzled inconsequential things guess charming distinctive also mildly irritating bugaboos 1 university colorado use cu abbreviation shouldnt uc 2 miami fl put u helmet rather mean schools universities right 3 uclas logo first letter capitalized 4 lsu always rocking boat weird goalposts always wears white home numbers 5yard increments instead 10 5 florida typographical freeforall script helmet block lettering jersey nascar fast talics end zone 6 reserve final annoyance alma mater unpopular opinion get rid green bays g sufficient history tradition warrant unique logo know borrows logos others pop warner teams,"['georgia', 'wku']","['iowa', 'upperiowa']",things general cross goal line immediately drop ball end zone hold onto damn thing fall camp huh still summer vertical passing really
189go15,kbro5vh,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",maybe wasnt busy creating nicknames hed know real names
17m69uk,k7ixt0g,source briefed big ten coaches call airing grievances playing level right team know competitive advantage still allowed play thats coaches grappling nicoleauerbach,source briefed big ten coaches call airing grievances playing level right team know competitive advantage still allowed play thats coaches grappling nicoleauerbach,"['lsu', 'chaos']","['iowa', 'upperiowa']",oh ffs college ever level playing modern times
19a8b3z,kijesr1,thamel sources ohio set hire longtime nfl head coach bill obrien schools new offensive coordinator,,"['georgia2', 'awardfestival']","['iowa', 'upperiowa']",would shame brian hartline left another job demotion wonder oc openings right could pursue possibly even big ten
17j3xdt,k6yudas,deion sanders colorados offensive line struggling protect shedeur big picture go get new lineman thats picture ima paint perfectly,nan,[],"['upperiowa', 'calpoly']",im sure saying media help recruit lineman lol im fan colorado year bad line makes complete sense run shotgun passing offense coachs son qb could imagine less desirable setup ol
16k9nah,k0v7svb,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",see matt campbell kirk entered die hero live long enough see become villain stage careers
16k9nah,k0vfhpn,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",refs hate almost much hate right
16k9nah,k0viaqh,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",holy shit matt campbell officially hot seati never thought id see day guy rumored nfl jobs
1830ml4,kam3bmd,missouri arkansas 400,location razorback time 400 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",mizzou uniforms hideous font makes comic sans look good
16ecyt5,jzv703w,330,iowafiowaiowa location statefiowastate jack trice time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'upperiowa']",threw int set pick 6 chess checkers
16e7v1g,jzu33pe,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['iowa', 'upperiowa']",00 multiple puntsi see b1g starting rub better rip carpets deep clean sets
16qht7n,k1x2ilv,postgame defeats colorado 426,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['iowa', 'upperiowa']",hey fam dan lanning youtube channel buffslayer42069 please like subscribe ill see next video
