post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ecz62,jzv4dsc,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['ohiostate', 'urbana']",seriously didnt even look close catch barely even foot let alone made play make close survive ground announcers nuts
18w6kt1,kfwtngn,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'urbana']",think lot woodford reserve gonna get consumed keeps
18w6kt1,kfwu369,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'urbana']",love players go strip give another 15 yards instead really helps
191mhz7,kgzfbtr,said ill say national championship shouldnt kicking damn late anymore,take work tomorrow able watch whole damn tonight least bump hour us people go work morning get reasonable amount sleep,"['auburn2', 'florida']","['ohiostate', 'urbana']",really issue commercials tight 3 hours wed done 11 heck go 1115 35 hrs lucky midnight based semis
16pnp44,k1sucfj,university former high school copy fight song,live swear old gods new hear ohio states fight song least three times year going sons games,['army'],"['ohiostate', 'urbana']",northwestern though guess makes sense since name
191zla4,kgzpruo,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'urbana']",dont know announcers acting like 4 score go theyre 2 tds stalled majorly lately works like dead
191zla4,kgzqa5l,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'urbana']",playing dumb possible receiver decides spin move instead going bounds
191zla4,kh007f4,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'urbana']",aware youre allowed throw beyond line scrimmage
191zla4,kh05k16,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'urbana']",penix cant throw run seems least tonight
17zp018,ka3sqt1,worst loss teams history,watching auburn go new mexico weekend made think worse losses programs history bama fan would go loss northern illinois 2003 1916 mike shula first season sanctions mike price impropriety stripper something hotel room service poor something list cathartic,['alabama'],"['ohiostate', 'urbana']",felt 06 national championship florida going opening kickoff going td hype good team great 1 v 2 match getting dismantled rest sucked beginning sec wave seemed like fun time im sure worst losses far lesser teams talent wise one still hurts go lose team basketball championship year salt wound
