post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwb00s,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'usa']",ends one two ways bama fans rush saban spurrierretires
16ei5hq,jzwfabu,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'usa']",milroy comes serious winning
18wbuu4,kfxi2xq,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'usa']",much wiped face earth late hit
18wbuu4,kfxxzb1,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'usa']",fuck mean ball doesnt move much moving michale jackson moon walks
166vqe9,jym7lup,postgame utah defeats florida 2411,box score provided team 1 2 3 4 made rcfb,"['medal', 'oklahomastate2']","['floridastate', 'usa']",ive actually stuck napier bit still early calls fire thatbut wasnt well coached team opinion sure first season rust oof
17esjzd,k65av3p,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['floridastate', 'usa']",connor stalions suspended staffer center ncaas signstealing probe purchased tickets name 30 stalions retired captain united states marine corps bragged linkedin knack identifying exploiting critical vulnerabilities centers gravity opponent scouting process bud kind forgot discreetly
16jq8ru,k0s0o6i,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'usa']",requirement fox sports every annoucer yell 80 time
18sbres,kf6lha0,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['appalachianstate', 'usa']",grew tarheel fan think gotta pull fellow mountaineers one
190y1iq,kgs3vfb,fcs championship south dakota montana 200,south dakota dakota location toyota time 200 watch tv abclabc espnlespn odds spread sdsu 14 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['usa'],love espn halftime show talking washington v fighting harbaughs awesome upfront dont give single fuck fcs
174y5zp,k4d8q8n,coastal carolina appalachian 730,coastal carolina appalachian location appalachian kidd brewer time 730 watch tv espn2lespn2 odds spread app 5 overunder 610 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['appalachianstate', 'usa']",team cannot stop coughing ball worst times
