post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
15iderk,jutks2m,brett arizona arizona 2time defending pac12 champion utah joining big 12 2024 pending big 12 formal approval next 24 hours sources told actionnetworkhq big 12 3rd league wat least 16 schools pac12 4 schools,,['texastech'],"['utpb', 'hateful8']",lost count many member pac12 left
1675cdu,jyo3dop,mcmurphy acc add stanford cal smu 2024 sources told leagues presidents got required 12 15 votes expand accs membership 17 schools smu receive media rights revenue 1st 7 years stanford cal receive reduced shares,,"['florida2', 'rutgers']","['utpb', 'hateful8']",im surprised didnt wait announce half time wazzou osu extra kick balls
163bvys,jy2qv8x,misconceptions first followed college,started watching 1996 arizona went undefeated jake plummer losing rose bowl thought arizona team beat college florida national title like well thats cause didnt play arizona remember getting sports illustrated college preview magazine 1997 season like arizona ranked low context thought 1996 normal season lol,['pennstate'],"['houston', 'utpb']",first college random fresno rice like 2005 excited go home watch highlights espn assumed would talk since talked every team thought thats learned network tv covers like three conferences
168f6vx,jyw0cbq,utsa houston 700,utsafutsautsa location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread utsa 15 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['uab', 'bones']","['houston', 'utpb']",article talking harris health issues offseason made consider retiring maybe something mentally physically still lingers
168f6vx,jyw0ujx,utsa houston 700,utsafutsautsa location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread utsa 15 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['uab', 'bones']","['houston', 'utpb']",manjack playing gloves wrist bands bad ass reminds evan gattis hitting singers astros gloves
168f6vx,jyw17zt,utsa houston 700,utsafutsautsa location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread utsa 15 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['uab', 'bones']","['houston', 'utpb']",wait minute white guy stands blue 34 jersey earl campbell
168f6vx,jyw58l6,utsa houston 700,utsafutsautsa location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread utsa 15 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['uab', 'bones']","['houston', 'utpb']",know none yall give shit second flair beating college apparently thing 960
16ei5s1,jzwdkgf,houston rice 700,ricefricerice location ricefrice rice time 700 watch tv nfl networklnfl rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['florida2', 'marshall']","['houston', 'utpb']",defense going nightmares 0 stiff arming ass season
16ei5s1,jzwgudk,houston rice 700,ricefricerice location ricefrice rice time 700 watch tv nfl networklnfl rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['florida2', 'marshall']","['houston', 'utpb']",every watched today shitty ref mics
16ei5s1,jzwiy34,houston rice 700,ricefricerice location ricefrice rice time 700 watch tv nfl networklnfl rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['florida2', 'marshall']","['houston', 'utpb']",hope rice wins coin toss dont watch dana take ball first ot
183mt6f,kapxwo6,houston ucf 1200,ucffucfucf location ucffucf fbc mortgage time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston', 'utpb']",im feeling like real sicko watching hyped regular season years going time go coogs
183mt6f,kapybk4,houston ucf 1200,ucffucfucf location ucffucf fbc mortgage time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston', 'utpb']",always like university ads coollooking science shit academic experience uh lol
183mt6f,kaq4066,houston ucf 1200,ucffucfucf location ucffucf fbc mortgage time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston', 'utpb']",hey qb sneak 250 lb qb didnt enough earlier year
183mt6f,kaq64hw,houston ucf 1200,ucffucfucf location ucffucf fbc mortgage time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston', 'utpb']",didnt even get blocked like kicked lineman lol
183mt6f,kaqecmo,houston ucf 1200,ucffucfucf location ucffucf fbc mortgage time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston', 'utpb']",alright im mercifully fully focused basketball thank god
15ii5j4,juubd5m,big 12 conference big 12 conference adds arizona arizona utah,nan,"['texastech', 'big12']","['utpb', 'hateful8']",pretty amazing think almost died twice big 12 arguably stronger ever
183mt2e,kaqo2xq,lsu 1200,amftexasamtexas lsuflsulsu location lsuflsu tiger la time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utpb', 'smu']",aggie man make one point conversion easier tie lsu make goal
