post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
168fxcn,jyvuk18,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['fresnostate', 'valleycup']",man tech uniforms fucking fly love white red jerseys black helmets
1684ozl,jytt1j7,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",ole miss transfer fuckin flyin around ball guy like changes fires whole
1684ozl,jytwh9n,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",ols mustve committed least 24 illegal man downfield penalties per last season really hope shit doesnt persist year
1684ozl,jytza0p,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",fuckin loving mikey keene erik brooks connection man gonna fun duo watch year
1684ozl,jytzxnn,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",man teddy rolling like dont let try 4thg get fuck man theyd juiced converted
1684ozl,jyu1qr8,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",point forget im thinking season
1684ozl,jyu62i0,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",pat hill must sick fuckin stomach right bet hes still half sick rn smfh
1684ozl,jyu7uln,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",dogs dont score next possession thatll likely getting near point purdue would able use stronger depth physically wear starters steamroll backups
1684ozl,jyu8rgl,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",im loving next man mentality wr corps year man
1684ozl,jyuajd5,fresno purdue 1200,fresno location purduefpurdue rossade time 1200 watch tv big ten networklbtn odds spread pur 35 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['purdue', 'aviation']","['fresnostate', 'valleycup']",man regardless whether win lose today ive seen far im really fuckin happy fresno landed mikey keene got deep appreciation teddys vision team
