post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18dpd4q,kcika4x,everyone focused fsu giving pass,head coach suspended twice season cheating scandals recruiting violations sign stealing scandal weakest regular season schedule playing 2 teams mattered weakest conference championship win still got ranked 1 despite undefeated team left cheaters played weak schedule likely victories year vacated anyway committee didnt questions everyone distracted fsu,"['hawaii', 'oregon']",['valparaiso'],strength schedule 35 florida strength schedule 55
16dhp5o,jzqmwm3,awful announcing time espn retire bottomline games,read article today could agree ticker sports relic considering easy check scores phones nowadays also espns large scorebug two together take much space cfb games brings biggest problem espns news ticker big takes little 9 entire screen lot something dispensable lsu played florida open season last sunday whole sixth screen 167 taken scoreboard ticker combined words watch college espn youre watching significantly less would another channel purpose staring graphic thats completely unnecessary one needs see anymore thoughts ive discussions cfb friends seem largely disagree,[],"['notredame', 'valparaiso']",hate ticker adhd addled brain cant handle feel like see less espn much shit screen brain many places
1621ag8,jxv1jgj,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['oklahoma', 'valparaiso']",sucks bunch guys kicking ball around
160cmsh,jxlqpsr,inconference teams generally root favorite team,western fan acc answers would syracuse pittsburgh theyve conference foes ever since kid ive gained soft spot old big east especially basketball digress conference usa harder nail since five nine teams returning may bit cheat ill give nod former conference foes marshall uab love history behind marshall seeing uabs program rise ashes team 20142017,[],"['michigan2', 'valparaiso']",yes read right mothers side family people um msu wisconsin things got testy 80s embarrassing msu loss rule team isnt playing always cheer big ten team thats grew suppose b1g flair today close friends went purdue psu osu course theres one osu would rather celebrate friends happy team
15o68ro,jvqf2iv,would 10year ago think told last decade gone favorite team,id shocked butch jones left bowl 2012 dantonio kelly done prior big east collapsed joined american conference 2013 season tell new head coach tommy tuberville would start backtoback 94 seasons go 1114 last two seasons manage piss entire fanbase way id confidence things would turn around soon tell next head coach luke fickell went 48 first season id dejected would absolutely lose mind think im lied hearing wed rattle seasons 112 113 91 131 94 going 48 2016 2017 backtoback ny6 bowls including first ever g5 team make cfp wouldve sounded impossible id certain lied tell 2013 first year american conference decade wed big 12,"['cincinnati', 'ohiostate']","['michigan2', 'valparaiso']",2013 strange time wolverines wed real shot arm hoke 2011 osu year fickell 112 season sugar bowl win beating hobbled osu excited 2013 us already calling replacing hoke people pushing harbaugh instead hoke since hired getting louder kind maybe needs time rich rod lot damage camp told 2013 next ten years hoke would fired within year wed hire harbaugh trouble snap single best ummsu ive ever watched go 55 msu beat osu two years row win columbus get cfp two years row 2013 like watershed year honestly dont know id believed thought high interestingly rich rod got better first season hoke got worse first season hindsight really wonder rich rod would continued improve firing rich rod hiring hoke bigger mistake hiring rich rod first place
172iula,k3xtn4z,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'valparaiso']",harbaugh everyone locker room important except greg
1824anr,kagmmx7,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['michigan2', 'valparaiso']",ryan day steals peoples thanksgiving leftover sandwiches office fridge eats part throws rest away big
17sxef4,k8suej5,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'valparaiso']",want come say winner im actually kind okay going either way point mean preference wont get mad lose
18hqgx6,kdcywsh,herbstreit better period washington watch 1015 games week live septemberearly december think im allowed opinion think better,nan,['minnesota'],"['notredame', 'valparaiso']",im kirk fact cancel playoffs entirely kirk seen teams play lets let kirk pick winner
191zla4,kgzk4hr,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'valparaiso']",three things happen pass two bad
