post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwf4v4,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'victorybell']",im liking im seeing milroe need
17fdg9z,k696pfg,arent enough instate played college,opinion every school least one instate division 1 school play every year west virginia play marshall msu play one directional schools ohio play one ohio mac teams cincy every year uga gt need schedule either southern kennesaw year understand cmu isnt going terms revenue ohio regional games make college special,"['georgiasouthern', 'sunbelt']","['usc', 'victorybell']",usc plays either fresno san jose years course ucla every year
18wbuu4,kfxg0at,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'victorybell']",slightly leaning behind line good accidentally posted rose bowl dont ask
16q6omx,k1w5osi,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'victorybell']",much hate clemson kinda want win giggles
17y9i7m,k9stapy,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'victorybell']",run defense reminds something cant quite put finger
183rfxa,kaqt22b,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'victorybell']",idk turned bout commit war crimes auburn
183rfxa,karf6cy,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'victorybell']",goals name heated rival
183rfxa,karksqm,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'victorybell']",also thats bs dont let return muff
16npqej,k1fwa79,week 4 matchup preview 20 colorado buffaloes 10 ducks,20 10 oregonforegon saturday september 23 0330 eastern autzen eugene watch abclabc odds oregonforegon 210 pts total points 705 alltime series oregonforegon oregonforegon met 24 times since 10151949 teams last met 319 days ago 11052022 series wins 9015 oregonforegon longest streak continuous meetings 6 20112016 oregonforegon last 3 meetings 20192022 series last 5 meetings co1049 or2952 or345 or4138 co2441 series comparison data via week 3 3000result 1tcuftcu 2110w 4542portland 1200w 817 1201w 3614texas techftexastech 1200w 3830 3colorado 0200w 1300w 5510 rankings reflect current rcfb injury report data scraped 20230920 100014 alton mccaskill ivrbques sat kneemon sep 18mccaskill sat previous three games recovering acl tear availability saturday known javon antoniowrques sat shouldermon sep 18antonio sat last two contests shoulder injury unclear lace saturday myles slushersques sat undisclosedmon sep 18slusher missed last two matches undefined injury yet determined face saturday louis passarelloteout indefinitely kneethu aug 17passarello sidelined knee injury timetable return yet established van wellscques sat legmon sep 18wells sat previous contest leg injury status saturdays battle versus known travis huntercbmid oct undisclosedmon sep 18hunter idle unspecified injury expected remain shut sometime october earliest cormani mcclaincbques sat undisclosedmon sep 18mcclain held last three games unspecified ailment remains seen take saturdays matchup injury data lifted oregonforegon injury report data scraped 20230920 100014 josh delgadowrques sat undisclosedmon sep 18delgado missed last three contests unknown injury unknown play colorado saturday injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['oregonstate', 'summertimelover']","['victorybell', 'jeweledshillelagh']",beats colorado 3326 dont think cover also dont think colorado able keep
16npqej,k1fz5ba,week 4 matchup preview 20 colorado buffaloes 10 ducks,20 10 oregonforegon saturday september 23 0330 eastern autzen eugene watch abclabc odds oregonforegon 210 pts total points 705 alltime series oregonforegon oregonforegon met 24 times since 10151949 teams last met 319 days ago 11052022 series wins 9015 oregonforegon longest streak continuous meetings 6 20112016 oregonforegon last 3 meetings 20192022 series last 5 meetings co1049 or2952 or345 or4138 co2441 series comparison data via week 3 3000result 1tcuftcu 2110w 4542portland 1200w 817 1201w 3614texas techftexastech 1200w 3830 3colorado 0200w 1300w 5510 rankings reflect current rcfb injury report data scraped 20230920 100014 alton mccaskill ivrbques sat kneemon sep 18mccaskill sat previous three games recovering acl tear availability saturday known javon antoniowrques sat shouldermon sep 18antonio sat last two contests shoulder injury unclear lace saturday myles slushersques sat undisclosedmon sep 18slusher missed last two matches undefined injury yet determined face saturday louis passarelloteout indefinitely kneethu aug 17passarello sidelined knee injury timetable return yet established van wellscques sat legmon sep 18wells sat previous contest leg injury status saturdays battle versus known travis huntercbmid oct undisclosedmon sep 18hunter idle unspecified injury expected remain shut sometime october earliest cormani mcclaincbques sat undisclosedmon sep 18mcclain held last three games unspecified ailment remains seen take saturdays matchup injury data lifted oregonforegon injury report data scraped 20230920 100014 josh delgadowrques sat undisclosedmon sep 18delgado missed last three contests unknown injury unknown play colorado saturday injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['oregonstate', 'summertimelover']","['usc', 'victorybell']",quacks didnt look like world beaters tech earlier think overrated quack team shows saturday get win 38 primes 16
17ny5nn,k7uroir,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['usc', 'victorybell']",welp ou fans see ya get ass beat tonight least youll
