post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1621ag8,jxv8zhs,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['kansasstate', 'victorycannon']",cant watch start chiefs preseason 3rd quarter neat
17ifk57,k6unvdm,houston kansas 1200,kansas location kansas bill snyder family time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'victorycannon']",remember first daniel greens injury got gashed big run play first series linebackers took bad angles really worried group love wrong
16k9n3l,k0vb3qk,kansas missouri 1200,kansas location memorial stadiumfaurot time 1200 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'victorycannon']",td hard way fuck yeah
17kwmhu,k7bemms,northern illinois central 700,northern illinois central location central kellyshorts time 700 watch tv espnulespnu rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['centralmichigan', 'victorycannon']",collective sigh relief screaming lungs stands
189ybx5,kbu6gc2,final cfb playoff rankings 202324,1 2 washington 3 4 first two 5 florida 6 per cfb playoff selection show,"['oklahoma', 'redrivershootout']","['kansasstate', 'victorycannon']",ah yes wonder florida ou want get alsoran p5 conferences know particular situation fixed expanded playoffs make mistake arent sec big ten part new world order
168no2q,jyyy7fg,postgame wyoming defeats tech 3533 ot,box score provided team 1 2 3 4 ot made rcfb,"['texastech2', 'saddle']","['kansasstate', 'victorycannon']",tech big xii dark horse buckle kids gonna weird year
18t5hhy,kfcb51y,poptarts bowl kansas nc 545,kansas nc statefncstatenc location camping world time 545 watch tv espnlespn espnlespn odds spread ksu 2 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'victorycannon']",missing nc fans brennan thrown 11k yards career hes used battering ram think dc slow fully commit stopping running career suggests sling
18t5hhy,kfccc1g,poptarts bowl kansas nc 545,kansas nc statefncstatenc location camping world time 545 watch tv espnlespn espnlespn odds spread ksu 2 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'victorycannon']",mean announcers flat making things never happened season
18t5hhy,kfcmcvy,poptarts bowl kansas nc 545,kansas nc statefncstatenc location camping world time 545 watch tv espnlespn espnlespn odds spread ksu 2 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'victorycannon']",thats cool weve tried play position couple times pinned deep 30 yard punts neat
18t5hhy,kfcnyvb,poptarts bowl kansas nc 545,kansas nc statefncstatenc location camping world time 545 watch tv espnlespn espnlespn odds spread ksu 2 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'victorycannon']",seeing issues inexperienced oc decent stuff first half weeks prepare making changes fly coming half failure
199fc1j,kiefp67,restrooms home worst restroom youve,vaught restrooms adequate urinals get crowded everyone drinking grove lines absurd 109 year old guess ole miss likes drink much far worst air force troughs urinals literally piss wall indent floor runs piss drain shoulder shoulder pissin military base crazy experience,['olemiss'],"['westernmichigan', 'victorycannon']",michigans restrooms big renovation 10 years ago bad urinals perimeter bathroom also big shaped island middle center troughs urinate sides shape 5 feet high meaning generally facing another man 30 inches part hold dicks
