post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
183rfxa,karlzfg,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'victoryflag']",god gary fucking worst good riddance piss stain
183rfxa,karndsx,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",receiving end multiple times sucking teams soul plays like thatouch
16k9mzz,k0v6n6w,lsu mississippi 1200,lsuflsulsu mississippi location mississippi davis wade time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'victoryflag']",complaints imposing offense shutting defense keep come swinging 2nd half
16d8tr1,jzrihfn,cant seem buy brian kelly,watching lsu lose way florida gut punch brian kelly doesnt seem like edge need top tier head coach sec disrespect bk im sure right man lsu watching games back coached nd crucial moments team justyou knowfolded seems like bk era lsu bringing vibe curious see others think situation,['lsu'],"['victoryflag', 'goldenboot']",think brian kelly much better fit makeup cfp next year teams get better throughout year great beginning start finish
16ecyqt,jzvfhum,ole miss tulane 330,ole missfolemissole miss location tulaneftulane yulman time 330 watch tv espn2lespn2 odds spread miss 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['tulane', 'tophat']","['tulane', 'victoryflag']",unfortunately think really missing pratt may turned
16ecyqt,jzvk1ep,ole miss tulane 330,ole missfolemissole miss location tulaneftulane yulman time 330 watch tv espn2lespn2 odds spread miss 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['tulane', 'tophat']","['tulane', 'victoryflag']",win lose great sec please take us back sorry
17yjuux,k9ubr84,lsu 800,lsuflsulsu location lsuflsu tiger la time 800 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",dont know people complaining defense best dynasty always going get
18s6r9q,kf5uidc,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulane', 'victoryflag']",hate see hope best young man
18s6r9q,kf6g8j5,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulane', 'victoryflag']",feel like comment section could better job reffing sides ball afraid make calls arent clear day
17nxpm2,k7v0kbq,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",well 1 point short matching point total 2011
17nxpm2,k7v4rx2,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",yeahthis doesnt good vibe us offense basically play perfectly
17nxpm2,k7v7ghs,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",lets put aside differences one moment agreement one thing really effing funny cbs took primetime two years
17nxpm2,k7v8j4n,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",hope one day gary danielson gets courage pursue true passion referee
17nxpm2,k7vfnuq,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",alright offense yall going score every time
17nxpm2,k7vgw0b,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",even punt position 2 plays anyways
17nxpm2,k7vj206,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",well beat florida get annual citrus bowl please
17nxpm2,k7vjmgh,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",turns cant win zero defense whod thunk
17nxpm2,k7vk977,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",oh fuck bama hurt jayden earrings coming
183xgmh,kasulaj,postgame defeats auburn 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['lsu', 'victoryflag']",auburn fan think would done rest year college professional spring leagues like usfl xfl sight would make gag get shots auburn fans crying stands funny good lord dont know could keep together either losing fashion stomach churning really
15lzang,jvdkx0d,unpopular opinion hot take deals cfb,ill go first guess johnny manziel good player propped mike evans better everyone cover whats hot take opinion,"['alabama', 'sec']","['lsu2', 'victoryflag']",schools 1000 miles apart separate conference helped apparently unpopular opinion amongst power brokers
193kpui,kha47l3,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['lsu', 'victoryflag']",bama post saban going interesting thing watch next couple years hope disaster feel like good coach could come keep rolling relatively easily foundation thats maybe unprecedented level still consistent 10 win team thats always contention
193kpui,kha72je,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['lsu', 'victoryflag']",chance bama go run bad hires asking friend thanks ill hang listen
191zla4,kgzjz40,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['corndog', 'victoryflag']",anyone else watching skycam teenagelooking ga stalking skycam holding banner block cameras view gets close harbaugh talking team huddle fuck
17t727w,k8vt86b,florida lsu 730,lsuflsulsu location lsuflsu tiger la time 730 watch tv sec networklsecn odds spread lsu 135 overunder 635 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'victoryflag']",ref control lost time day death valley night buckle
17t727w,k8vwc2k,florida lsu 730,lsuflsulsu location lsuflsu tiger la time 730 watch tv sec networklsecn odds spread lsu 135 overunder 635 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'victoryflag']",think joke first good play lsu db year
1728e9y,k3vezfh,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",world mississippi score 14 defense home
1728e9y,k3vfpcw,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",idea bag future dc contracts include clause stating ever give 700 yards single get fired arent owed dime
1728e9y,k3vgf7x,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",might well go mizzou spot anyways 2 plays
1728e9y,k3vh7ts,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",well 2022 sometimes fun woof decade far
1728e9y,k3vxgud,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu2', 'victoryflag']",mizzou fans stands seem weirdly call lol
