post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxo1tf,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'villanova']",bourbon street looks wayyy overcrowded always like sugar bowl town
18wbuu4,kfxs6y5,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'villanova']",ill honest wasnt familar pac 12s
18wbuu4,kfxwrns,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'villanova']",trouble snap
18wbuu4,kfxy1dg,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['villanova', 'memphis']",bro guy cramping lmaooo cramping cost team clock time
15ixvfm,juwogmd,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],['villanova'],id like dispel notion uconn would consider joining b12 without bringing team even ignoring big east msg better fit money simply doesnt work uconn 30 million exit fee big east 2026 slowly comes estimated uconn would save 2 million year travel costs moving big east aac would least much difference big east b12 big east lets uconn sell womens basketball rights separately nets additional 1 million year big east new tv deal year b12 spreading exit fee across length 6 year b12 media deal b12 would pay uconn 8 million per year uconn break even big east media deal expected around 68 million per year b12 would offer uconn 1416 acc gives notre dame 20 share would 45 share 2031 uconn reasonable buyout maybe table right happening
16ktcfe,k0y1yss,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['villanova', 'rutgers']",threat wild ot many people calling rigged blatant facemasks targeting blindside blocks lol
16ktcfe,k0y23zn,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['ohiostate', 'villanova']",csu putting boulder ropes due combination solid xs os helpful plays various clutch good fortune along way csu blows playing worst shitbrained imaginable national tv indefensible good see lose light
183rfxa,kaqyjum,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['villanova', 'lsu']",think probably would made line scrimmage multiple universes
1728e91,k3vxo8a,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'villanova']",thing maryland beat ohio public education
15wqekf,jx464yo,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['navy', 'villanova']",live annapolis commute md side dc metro judging car stickers see probably penn virginia tech maryland ohio navy order
