post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
15knp1o,jv6572x,rumor big ten likely move 10 conference schedule following recent expansion,nan,"['michigan3', 'tulane']","['pittsburgh', 'wagner']",college totally dead yet vegetative
15wqekf,jx29smd,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['pittsburgh', 'wagner']",pitt psu wvu notre dame top 4 ohio probably 5
177zlfy,k4x04q0,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'wagner']",coaches dont call qb sneak 4th 1 arrested
177zlfy,k4x27yz,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'wagner']",one lead blocker hole 5 louisville defenders hell
177zlfy,k4x6zis,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'wagner']",way williams maye playing tonight might time veilleux qb1 convo
16k5rz7,k0uhbip,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['pittsburgh', 'wagner']",never going happen needed heel rock come call deion rooty candy ass jabroni pick csu win 30 set rock prime wrestlemania
17ijw8e,k6vsgnd,pittsburgh notre dame 330,notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'wagner']",never tortured anyone future ill make listen jac collinsworth get info need halftime fuck nbc hiring loser
189ycsz,kbu6m64,thamel college playoff 1 2 washington 3 4 5 florida 6georgia,nan,"['texas', 'williammary']","['pittsburgh', 'wagner']",florida every right claim national championship year fbs title legitimate wwe belt
16qhwft,k1xelkc,north carolina pittsburgh 800,north carolina location acrisure time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'wagner']",definitely trying throw pass ive never seen guy throw straight ground like rule doesnt say throw forward upwards
16qhwft,k1xfux0,north carolina pittsburgh 800,north carolina location acrisure time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'wagner']",killing line scrimmage uncs advantage skill positions large though
16qhwft,k1xyfdh,north carolina pittsburgh 800,north carolina location acrisure time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pittsburgh', 'wagner']",stunning turn events fansme includedcalling backup qb wrong turns penn states 3rd string qb sucks
