post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17mf1p1,k7llj2l,tcu tech 700,tcuftcutcu tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",whens last time national champ runner missed bowl following season
17ght9z,k6gua68,utep sam houston 800,utepfuteputep sam houston location sam elliott bowers time 800 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",tonight night shsu turns luck around kats 3 fucking moon
1728e91,k3vgby6,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'walsh']",thats good call hard make real time good ref
1728e91,k3vmp1v,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'walsh']",took long throw waited harrison almost range
1728e91,k3vntbi,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'walsh']",remember ewers transferred could running offense
1728e91,k3vo3t1,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'walsh']",soft ass pi call turned head early play pushing
1728e91,k3vpacy,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'walsh']",officials pissed put maryland fg range
16d8tr1,jzons9f,cant seem buy brian kelly,watching lsu lose way florida gut punch brian kelly doesnt seem like edge need top tier head coach sec disrespect bk im sure right man lsu watching games back coached nd crucial moments team justyou knowfolded seems like bk era lsu bringing vibe curious see others think situation,['lsu'],"['notredame', 'walsh']",ive actually known bk since early tenure gvsu family member official gliac would go tons games ten years later recruited grown knew asshole went elsewhere come notre dame family multiple family members play still ties folks admin always giant sack shit human win everywhere went d2 obviously completely different level sec even ndcincy hasnt title anywhere else coach beat every single beatable team schedule win 7580 tossup games never win would upset wont following recruit high level shitcan assistants arent performing well loyal foster strong sense team constantly blames everyone never ever ever ever take accountability bad shit goes wrong take credit things good also wastes talent defense hes bullshit harold perkins wasting jaylon smith nd making spy dropping instead nuclear warhead deploy also makes every qb around worse time goes ive never seen life every starting qb gets worse year year think trys make robotic running system allowing actually read defenses make checkdowns etc god forbid make changes los seeing unfold jayden daniels realtime nobody comes matters less brian kelly major college coach said give complete credit comes bringing notre dame program back desparately needed stabalizing force program gets credit never take away never going win title nd due issues outlined ill also make significant wager never win one lsu either
17iov6h,k6w4na0,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'walsh']",horrible decision would throw double coverage player isnt close open
17iov6h,k6wlrai,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'walsh']",many osu fans deleting comments complaining day insisting running shut day knows
16qmmcf,k1y2vqi,postgame ohio defeats notre dame 1714,box score provided team 1 2 3 4 ohio notre made rcfb,['rcfb'],"['walsh', 'kentucky']",nd 10 defenders last play de lined boundary
17nng42,k7tby6q,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'walsh']",traditionally 2nd half team players letting day right hard outcoach drops ints stupid runs punt play
1836rhr,kan3eci,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",need start kicking games scheduled kickoff time
182v9ux,kal7uq9,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",stop showing tcuou highlights im trying watch
182v9ux,kalmedc,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",someone really lose teams putting show
182v9ux,kalpdvw,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",wonky fumble immediately followed fg team running onto without fucking kicker belongs museum
182v9ux,kalq5fe,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",wish safety would deciding score badly
182v9ux,kalqfwr,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",punts guys giving punt team standing ovation even knowing theyre big screen
17aa03z,k5cdx3j,middle tennessee liberty 700,middle tennessee location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",maction stay saturdays cusaction much better
17aa03z,k5cgydg,middle tennessee liberty 700,middle tennessee location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",defensive player simply would shove someone way play personal foul pivotal drive
16q6otf,k1vsy85,kentucky vanderbilt 1200,location firstbank time 1200 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",210 lead 135 pt spread suddenly became sweaty
188p109,kbmk5wz,new mexico liberty 700,new mexico mexico location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['walsh', 'kentucky']",real cusa bros weekday cusaction incredible im
