post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16yz0x3,k3bi3sd,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']","['iowastate', 'wartburg']",brock purdy breece hall oc tried turn playmaker qb pocket passer lowered offenses ceiling considerably
16k5rz7,k0uko87,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'wartburg']",peggy years service gonna let lead ralphie run today
169aftq,jz0rvpv,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'wartburg']",kinda fucked constantly sold products 247
16qh8i7,k1xbkc5,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'wartburg']",isnt isolated players using fan money go california vacations make fan bases toxic
16qh8i7,k1xegju,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'wartburg']",50 iowas corn goes making ethanol carbon intensive oil production considered
16qh8i7,k1xfbtp,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'wartburg']",psu fans thank 2019 karma
16qh8i7,k1xs4ss,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'wartburg']",couple weeks ago told every minute isu weighs iowas resume rather losing important conference games
16qh8i7,k1xw47r,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'wartburg']",thing keeping kirks job intact fear falling 7 wins season
16qh8i7,k1xwix4,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'wartburg']",seems like backup qb coming acl te 3 career tds fc wr fcs tackle iol miami hydroxide wasnt enough revamp worst offense d1 like assured media folks fucking christ
16kehcu,k0w89f4,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'wartburg']",emotion seen brian years good see fire good see shitty offense
15o9ni8,jvqpg3h,else ended attending college whose team hated growing end,grew fan dad went uo gave fullride scholarship ended attending took one year stubbornly refusing switch allegiances realized lame college would couldnt root school attending softened started rooting teams play usually find hoping good things happen beavers since rarely totally fine ducks win often anyone else experience,"['oregon', 'oregonstate']","['iowastate', 'wartburg']",grew diehard fan eastern ended going isu kinda played disappointed bit dumb high school thing converted pretty quickly campus zero fun attitude yeah go sucks love rival
1625rls,jxw15hx,utep jacksonville 530,utepfuteputep jacksonville location jacksonville burgesssnow time 530 watch tv cbs sports networklcbssn odds spread utep 2 overunder 540 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia', 'georgiastate']","['iowastate', 'wartburg']",honestly commentator guys like get jobs cant figure obvious calls like watching last 4 years
17ic9fj,k6tsw5j,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'wartburg']",segment always feels like first ep succession wag million dollars front middle class family
183195k,kalx18p,postgame defeats nebraska 1310,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['iowa', 'wartburg']",im say witnessed live holy hell
161tbiw,jxtv9lw,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'wartburg']",course american driver would cause f1 run long block day
161tbiw,jxtw8ph,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'wartburg']",gameday currently espn u normal espn f1 qualifying finish crash extended session
161tbiw,jxty0hs,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'wartburg']",espn financial incentive hype sec espn financial incentive hype big 12
161tbiw,jxu101r,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'wartburg']",know notre dame navy country reason couldnt gone campus today
161tbiw,jxu16t3,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'wartburg']",quarterback important team great stuff fellas
1781x7x,k4wr28v,postgame defeats wisconsin 156,box score provided team 1 2 3 4 iowafiowa070815 made rcfb,['rcfb'],"['iowa', 'wartburg']",64 fun anomaly fun norm
17t1swl,k8ulhrs,rutgers 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn odds spread 15 overunder 285 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'wartburg']",heres proposal dont spin big west conference thing mid west dont need good shit ruin good time heartland 30 burners protected costs
17t1swl,k8un0no,rutgers 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn odds spread 15 overunder 285 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'wartburg']",comes empty formation yes literally hollow inside thanks
17t1swl,k8upxji,rutgers 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn odds spread 15 overunder 285 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'wartburg']",lmao feel like insurmountable lead
17t1swl,k8usk7k,rutgers 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn odds spread 15 overunder 285 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'wartburg']",lying say offense thrilling
17t1swl,k8ut3e4,rutgers 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn odds spread 15 overunder 285 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'wartburg']",wtf rutgers top 10 defense sure dont look like considering theyre letting worlds worst passing burn
15i50ve,jus5e2w,washington join big ten leave pac12,nan,['georgia2'],"['iowastate', 'wartburg']",im sorry wsu osu fans hope pac mwc merge form respectable conference
17d0yj8,k5u7x8j,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'wartburg']",jerk wanting less sob stories analysis weekly
