post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwhshi,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",level play much better saw afternoon hard believe division upon time nebraska played level
1728e91,k3w120b,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",terps deserve top 15 matter final score
15q1cwp,jw28hr3,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['kansas', 'washburn']",weird games ku played 2009 2022 go figure
16jmdcy,k0r2lfn,work ncaa compliance ama,removed,[],"['kansas', 'washburn']",bill selfhow much shit suspended longer know wrong sub
16jmdcy,k0r32l7,work ncaa compliance ama,removed,[],"['kansas', 'washburn']",serious question didnt penn baylor get death penalty respective abominations msu
169aftq,jz0yifi,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'washburn']",well know one sec teams anointed one 2 annual slots cfp
182v9ux,kala5yj,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",refs fucking horrid congrats paying win
182v9ux,kalawja,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",surprised refs didnt give way theyve going hard yellow
160cmsh,jxm1ld5,inconference teams generally root favorite team,western fan acc answers would syracuse pittsburgh theyve conference foes ever since kid ive gained soft spot old big east especially basketball digress conference usa harder nail since five nine teams returning may bit cheat ill give nod former conference foes marshall uab love history behind marshall seeing uabs program rise ashes team 20142017,[],"['kansasstate', 'washburn']",used like schools secondary conference teams still dont mind osu fan ou also want wvu good time conference sad dont local friends
15vkpiz,jwx93d6,worst best case scenario favorite team,ill start worst case scenario louisville finishing season 85 due playing ranked notre dame nc pitt miami road acc ends competitive sec leads us outmatched kentucky however get another bowl end season win means basically end record last season 85 highly doubt record could worse since seem talent compared last season jeff brohm seems confident passionate coaching team best growing louisville best case scenario louisville finishes season 94 due upsetting ranked notre dame home advantage feel like louisville still prone lose nc pitt miami teams road sec still competitive acc kentucky still competitive team louisville would still stack one top tier acc teams home advantage year could give ability beat kentucky first time 6 years since lamar jackson left fall short eligible acc championship get competitive bowl ending loss 94 jeff brohm reflects great season works improving team even next year,['louisville'],"['kansas', 'washburn']",ku wins games ku loses games
15vwgdi,jwyfgrv,teams 4th biggest rival,bah gawd tell close start season let get one peak offseason question every school knows first second biggest rivalries majority know third fourth biggest rival auburn would think likely florida honest rivalry pretty dead days know used big back day,"['auburn', 'chattanooga']","['kansas', 'washburn']",1 misery 2 kstate ill always root youre playing us 3 bc fuck em 4 osu weve playing forever
16x9pgh,k32ufer,feeling rest season week 5,speaking think likely drop two likely figure activate death machine mode first loss could come soon weekend certainly 20 kentucky rolling florida ole miss tennessee also shouldnt counted beck rallying first road test jhs less encouraging inexperience qb defense injuries threepeat hinge long takes team synthesize starting get critical pieces back ladd javon mykel could matter time,['georgia3'],"['kansas', 'washburn']",legit think ku shot 102 assuming jd healthy
16knfug,k0xas46,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'washburn']",hell wrong billy whatd call timeout
16knfug,k0xcpm5,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",laughing ass takes points board deserved almost interception
16knfug,k0xdeid,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'washburn']",oh hell yeah late hit td rules
16knfug,k0xdfby,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",even nebraska would stupid take points board
16knfug,k0xdk1z,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'washburn']",everyone knew going intercepted except qb stared target 10 minutes
16knfug,k0xel5g,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'washburn']",5d chess jay norvell making colorado rekick getting worse position
16knfug,k0xf1nc,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",tried telling nebraska lost colorado beat us
16knfug,k0xf1x4,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'washburn']",primes face face im making right hell happening
17yj89b,k9tw94m,nebraska wisconsin 730,location camp randall time 730 watch tv odds spread wis 6 overunder 365 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'washburn']",whatd miss saw statement wisconsin saying oppose hatred
18ekefp,kcoevet,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'washburn']",doesnt general admiral order team win taps forehead
18ekefp,kcogw0i,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'washburn']",ndsu ndsu things usd abc mess chiron ndsu really ranked
1781x7x,k4wqf6i,postgame defeats wisconsin 156,box score provided team 1 2 3 4 iowafiowa070815 made rcfb,['rcfb'],"['nebraska', 'washburn']",ive never felt confident rest nebraskas schedule every winnable easily lost going fun end season liquor store owners
16gyrch,k0cqrha,much college apparel,brands seem best college apparel,['olemiss'],"['kansasstate', 'washburn']",bunch kstate stuff also go cws every year get shirt eliminated team rosstjmaxx also random college stuff buy
16doerv,jzrau67,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['nebraska', 'washburn']",kansas good means nebrasketball chance year right right
16doerv,jzrfpmn,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['washburn', 'kansas']",better watch edge blocks kansas block little softer please
16doerv,jzrgflp,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['washburn', 'kansas']",ahh ol screwed heres one guys
16doerv,jzrix88,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['kansas', 'washburn']",sports gambling worst thing happened sports
16doerv,jzrjxei,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['washburn', 'kansas']",good get refs like early games find better ones games really matter
16doerv,jzrl4a3,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['washburn', 'kansas']",hope ku drives kicks goal screw vegas refs
166pzeu,jylv8yg,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['nebraska', 'washburn']",minute ago thought world ending drinking kool aid
166pzeu,jym01mg,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['nebraska', 'washburn']",someone help dont know hands weird feeling called belief
166pzeu,jym62pn,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['nebraska', 'washburn']",course would face mask otherwise great stop
16ecys3,jzvwrbp,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['floridastate', 'washburn']",still going swear 3 minutes left like 20 minutes ago
17sxeaj,k8strlw,maryland nebraska 1200,location memorial lincoln ne time 1200 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",mean else would watch time
17sxeaj,k8ts65g,maryland nebraska 1200,location memorial lincoln ne time 1200 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",turned sims ball
16a7pzz,jz688b5,recourse consumers fight back insane amount ads college,im considering cancelling every streaming service point peacock far worst pause ad overlay fastforward commercials bad sucka cant anymore seriously getting entire hour ads every joke enough want give watching entirely,[],"['kansasstate', 'washburn']",money pay 65 mill northwestern indiana rutgers gotta come somewhere
16kjdqm,k0wqhtn,northern illinois nebraska 700,northern illinois location memorial lincoln ne time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",normally hate commercials love watching nebraska less time see team
16kjdqm,k0x7tq4,northern illinois nebraska 700,northern illinois location memorial lincoln ne time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",might old fashioned talking never losing
16kjdqm,k0x8dkm,northern illinois nebraska 700,northern illinois location memorial lincoln ne time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",nice need thing arent premier often less trolls
16kjdqm,k0x96dj,northern illinois nebraska 700,northern illinois location memorial lincoln ne time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",try score lots points 4th quarter thing often fun
16kjdqm,k0xa0bw,northern illinois nebraska 700,northern illinois location memorial lincoln ne time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",im flying take kid mouse 30th figure probably shouldnt check score day win kid getting souvenirs damnit
16kjdqm,k0xarmh,northern illinois nebraska 700,northern illinois location memorial lincoln ne time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",got junk td last week turnaround fair play
16kjdqm,k0xavhl,northern illinois nebraska 700,northern illinois location memorial lincoln ne time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'washburn']",okay duck point conversion extra snaps
