post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
184dt9f,kaujaay,complain team,vent friendly place,['rcfb'],"['missouri', 'washu']",wanted see tamu get ryan day entitled osu fans deserve ruined hiring quitting mark stoops dang
184dt9f,kaujjkd,complain team,vent friendly place,['rcfb'],"['missouri', 'washu']",beat lsu wed argument cfp right close still great season us also joel klatt hater hes still mad ruined colorado
16ei5hq,jzwb8np,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'washu']",many fucking movies marvel gonna milk wasnt already loki movie
16ei5hq,jzwc4jn,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'washu']",im gonna lie possession shouldnt able advance fumble fourth
16ei5hq,jzwd5tb,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'washu']",milroe cant complete wide open 10 yard passes
16ei5hq,jzwjs5y,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washu', 'missouri']",fans chanting sec amazing love ironic sec chant
172i5sr,k3x880g,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'washu']",great get play pissed kentucky team next week lexington love mizzou fan
18wbuu4,kfxcelr,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'washu']",im definitely rooting washington cant lie fight song super catchy
18wbuu4,kfxiai3,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'washu']",playoff games lasting way til overtime would fun id
18wbuu4,kfxpiqm,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'washu']",hopefully penix keep washington pulls
18wbuu4,kfxvccg,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['washu'],penix disgusting uw seems like college staff playoff knows call plays offense
18wbuu4,kfxwveb,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'washu']",holy shit cristoballed rb genuinely hate see
18wbuu4,kfxy0vf,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['washu'],dillon johnson gets injured washington cant run clock
18wbuu4,kfxy9wf,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'washu']",glad see 4 teams today desperately trying lose
16q6omx,k1vjebw,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'washu']",clemson keeps huge duke might win national championship rate lol
16q6omx,k1w3pie,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washu', 'missouri']",guys know kicker called week wasnt sure mentioned yet
16q6omx,k1w9313,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'washu']",horrific coaching clemson fan wants fire dabo insane bama fan wants fire saban
16ecz62,jzv2khx,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['washu', 'missouri']",got stuffed repeatedly going directly middle 3rd 4th short last week guess exact thing week
