post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ktcfe,k0y3m5n,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['alabama', 'westalabama']",fact csu let cu touch ball instead going 2 insane
183rfxa,kar2ylu,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",one worst plays ive seen player make year lower damn shoulder
183rfxa,kar5enp,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",love many idiots watch quarter think means lose went 4 ot terrible auburn team 2021 beat uga 20 championship
183rfxa,kar5vlm,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",auburn resurrected ghost pete shit dont know run defense
183rfxa,kare1z3,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",could surprised terrible defense looks arent anything crazy fancy far away playing worst year defensively
183rfxa,karf1cf,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",everytime anything good somebody fucking idiot
183rfxa,karf786,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",really blindside block guy saw coming thats really weird call play
183rfxa,karp1b6,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",bro everyone holding hands crying greatest thing ive ever seenp
18uo86j,kfm5l65,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",wish screenshot idiots talking sec bias weeks ago mizzou claps osu ole miss claps psu going 5613 myth folks
18uo86j,kfm9aca,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westalabama']",mean think without refs probably 33 uga really getting carried
