post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvvjal,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westgeorgia']",defense hold offense worries joyless murder ball really back guys
16ei5hq,jzw28h0,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",ive determined best course action season win tonight get one last loss kansas farewell
16ei5hq,jzw2rtu,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",take whole band pep band
16ei5hq,jzw3t56,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",idk shot entire mdb chilling ominously tunnel background funny
16ei5hq,jzwbien,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",line personally blessed pole assassins monkey
16ei5hq,jzwcm2i,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",killing pac 12 caused pac12afterdark nonsense spread across conferences fools
16ei5hq,jzweuny,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",band rafters like sting 97
16ei5hq,jzwiruf,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",milroes kinda like russian cruise missile battery arm crazy powerful nobodys got chance hell guessing anythings gonna land
16ei5hq,jzwk8vt,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",ive said continue say continues proven true lil ah conference
16ktcfe,k0zf6dq,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['floridastate', 'westgeorgia']",colorado showed things thats scary honest oline pedestrian hell couldnt stop pass rush save lives defensive play calling suspect charles kelly top tier teams conference exploit rely athleticism great thats going sustainable get deeper season especially without implementing plan
183rfxa,kaqtvga,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'westgeorgia']",hey fans would like introduce tradition thats called fuck auburn sure uga fans would love help teach
183rfxa,karapfg,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",awe fans petty enough arguing whos bands halftime show better
183rfxa,karivg4,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'westgeorgia']",guys survivor series wargames isnt another hour reason fighting
