post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17ta8ra,k8w1k21,byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['byu', 'westminsterut']",id like season certainly looks like team checked season
16e7uxq,jzubn9e,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",dont remember year scalley defense good run
16e7uxq,jzuc2do,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",sure offense looks bad havent seen anyone absolutely livid baylor running 3rd long 1st downs vaunted utah defense scalley rode whittinghams coattails forever
16e7uxq,jzuhs7s,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",okay im barnes even team
16e7uxq,jzuiims,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",nate johnson went got excited bryson comes scream hand saturday going barnes 3rd string need show loyalty
16e7uxq,jzuiv76,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",udokupetan beside driving around downtown slc begging thru texts ludwigs family address andys home
1621ag8,jxv2dzx,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['utah', 'westminsterut']",anyone dm stream link would really appreciate
17nq022,k7txc3k,arizona utah 200,arizona utahfutahutah location utahfutah riceeccles time 200 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",umaeakafa look think morgan scalley fired dont make 17 posts one learn take hint itll help make friends
17nq022,k7u5mqn,arizona utah 200,arizona utahfutahutah location utahfutah riceeccles time 200 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",glover grown lot beginning season
18phz33,keos7bn,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",northwestern smells blood know playing something worse nobody qb
18phz33,keova50,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",bottari doesnt turn ball literally anyone barnes please
18phz33,keowq98,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",close breaking laptop playing baldurs gate 3
18phz33,keoytw7,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",figured barnes low iq doesnt know read defense doesnt know throw away doesnt know run doesnt know go everything wrong
177vtun,k4wlwqc,byu tcu 330,byufbyubyu tcuftcutcu location tcuftcu amon g carter time 330 watch tv espnlespn odds spread tcu 5 overunder 530 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['byu', 'westminsterut']",said individual person accept blame absolute nightmare however gotta say slovis looks awful hes got time world plays throws awkward sloe poorly aimed pass feeling like could gone differently someone else qb
17ycosh,k9sx2ar,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",defense embarrassing dare say want say
17ycosh,k9sx6rf,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",ludwig calling plays avoid losing 50 instead trying win
17ycosh,k9t1gwv,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",chalking colorado win im sure win guys
17ycosh,k9taror,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",obviously ground terrible refereeing say watching four times four different angles
17ycosh,k9tb6qn,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",arizona get ball spot faux interception
17ycosh,k9tf5tg,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",totally forgot big 12 preview cant wait conference
17ycosh,k9tjimf,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",gotta make tackle front 67 hiding corners season
17ycosh,k9tjr5k,utah arizona 230,utahfutahutah location arizonafarizona arizona time 230 watch tv pac12 networklp12n odds spread ariz 1 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",like trade 8 7 24 times well go ot
167pwk2,jyrkm8t,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['utah', 'westminsterut']",stanford looking like butt disappointing stanford hater
189go22,kbrouee,florida louisville 800,florida location bank america time 800 watch tv abclabc odds spread fsu 15 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",louisville players know put head
189go22,kbrr48f,florida louisville 800,florida location bank america time 800 watch tv abclabc odds spread fsu 15 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",honest florida fan really need keep throwing stay competitive
189go22,kbrsg0w,florida louisville 800,florida location bank america time 800 watch tv abclabc odds spread fsu 15 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'westminsterut']",trick becoming blue blood get really talented band play song every play ad nauseum recruits dig nausea
16wksgd,k2xqx0s,postgame baylor defeats ucf 3635,box score provided team 1 2 3 4 ucffucf2177035 made rcfb,['rcfb'],"['byu', 'westminsterut']",byu fans want miracle bowl comparison exceed miracle comeback terms deficit overcome amount time remaining
