post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfx4o85,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westtexasam', 'texas']",home crowd ratio
18wbuu4,kfxi7lc,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westtexasam', 'texas']",player laid hit hed strapped electric chair
18wbuu4,kfxliuc,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westtexasam', 'texas']",well one ou player made cfp year
18wbuu4,kfxutly,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westtexasam', 'texas']",sun rises tides go tides go leaves fall uws left tackle holds totally normal shit
17ny5nn,k7us5pm,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['westtexasam', 'oklahoma']",refs sucked ou played bad jeff lebby still play calling terrorist gg pokes sad rivalry ended
17d9q9a,k5w8cl5,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westtexasam', 'texas']",holy shit first penalty houston entire wtf
17d9q9a,k5w9iit,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westtexasam', 'texas']",fox could gloat play tyler childers
16ecyqt,jzvgfer,ole miss tulane 330,ole missfolemissole miss location tulaneftulane yulman time 330 watch tv espn2lespn2 odds spread miss 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['tulane', 'tophat']",['westtexasam'],man im ole miss im 4 quarter
18w6kt1,kfx0dgn,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westtexasam', 'texas']",thats cramp burtons leg went wrong way
18efp1z,kcnbezb,watching espn try clean mess last days fascinating,day like different chapter damage control text book day 1 pure propaganda every one biggest analysts proudly declared committee got right sometimes teaming stephen awkwardly leaning tanktops desk telling us think like something north korean film didnt work day 2 victim shaming tried rake undefeated team mud constantly comparing trying make us forget two 1loss teams jumped undefeated champion finebaum saying committee probably fsu highlight didnt work day 3 trying downplay outrage big deal fsu needs shut already ignoring fact whole country pissed doesnt get picked every single news outlet nothing day 4 false sympathy feel bad fsu way wasnt pretty enough yeah 85 kids got dreams stolen corporation needed business partner represented message received day 5 throwing someone else committee bus think committee got wrong see america mad please forget led antifsu campaign last 3 weeks definitely dont think kirk saying didnt want right thing wants good games go undefeated next year might make b1g sec invitational may odds ever favor day 6 trying play victim kirk looked pretty rough yesterday knew corporate puppet could come consequences tell hes never bad guy plenty people didnt like hes hated cant deal classic baddies moment handle day 7 well wait see,['floridastate'],"['westtexasam', 'texas']",theres mess clean though fsu would get skull drug anyone top 10 maybe 15 stop
