post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18sbres,kf7g082,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'westvirginiatech']",said 39 preseason neal brown haters eating much crow
18w6kt1,kfwrokl,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'westvirginiatech']",im tired hearing good big 10 every year shit bed every year matters
172ium0,k3xfn4w,arkansas ole miss 730,ole missfolemissole miss location ole missfolemiss vaughthemingway time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginiatech', 'tennessee']",last year pittman arkansas fans want
191zla4,kh03zy9,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'westvirginiatech']",cant wait hear jj mccarthys corny rituals lead whopping 7 completions today lol
17t727w,k8vwala,florida lsu 730,lsuflsulsu location lsuflsu tiger la time 730 watch tv sec networklsecn odds spread lsu 135 overunder 635 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'westvirginiatech']",need florida dc explain billion words gave 600 yards
176it07,k4ncix4,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'westvirginiatech']",probably pathetic home crowd ive heard since miami played 5 days ago
176it07,k4njgw1,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'westvirginiatech']",neal brown made deal devil im convinced lmfao
172j2qi,k3xg5os,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginiatech', 'tennessee']",strange hearing song associate django unchained coors light commercial
172j2qi,k3xgjpv,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginiatech', 'tennessee']",really need go louisville like 35 hrs
172j2qi,k3xgsk9,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginiatech', 'tennessee']",lighting make cardinals jerseys look rubber sidelines
