post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxxvgg,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",washington fan functioning liver point every single play like
15ixvfm,jux93rg,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],"['williams', 'ohiostate2']",klivakoff go back apple renegotiate pac4 streaming rights offer stanford v cal matchups every sport play part standard apple tv 499 month id sign
17q3a8o,k89ti97,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],"['williams', 'ohiostate2']",vacuum cleaners get repaired corum one actual repairing connor marketing guy
16fvde3,k05413g,footage surfaces fans shouting racist homophobic insults players,,['michigan'],"['williams', 'ohiostate2']",tip hat racist uga fan paved way justin fields tosu
189z8v2,kbuqrr6,thamel injured fsu quarterback jordan travis wish broke leg earlier season yall could see team much quarterback,nan,['usc'],"['williams', 'ohiostate2']",norvell balls advocate team said acc title please even consider rewarding team integrity cheated rules u ineligible cfp
17ny5nn,k7uwrkg,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['williams', 'ohiostate2']",b12 refs swallow whistles pi going away middle finger ou
17sh21c,k8rezug,rosenberg last week michigans regents discussed leaving big ten jim harbaugh suspended without believes due process source tells si espn reported suspension 30 mins b1g informed um michiganpetitti fight,nan,['ohiostate'],"['williams', 'ohiostate2']",everyone cheats cfb admit take punishment like everyone else got caught otherwise ncaa going smu um program next year
18aie6x,kbz97n4,ohio quarterback kyle mccord entered transfer portal,made rcfb recruiting post,['michigan'],"['williams', 'ohiostate2']",signed big nil deal columbus area honda dealers surprising
17ijvyn,k6v1wks,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",feels like eggshell jerseys wouldve worked better combo uw
17ijvyn,k6v65f8,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",nix looks like knows guy open play even starts
17ijvyn,k6v83na,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",amazing utah coach isnt busy interviewing another job
17ijvyn,k6vdlfz,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",usc could shootout josh wilcoxcoached team
17ijvyn,k6veoie,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",steals uscs defensive sign next year yeah good please run play
17ijvyn,k6vg50a,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",rate southwest airlines way lincoln riley ends leaving oakland international airport tonight
17ijvyn,k6vjl6q,utah 330,utahfutahutah location utahfutah riceeccles time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",hahahaha caleb williams ran clock first half running around backfield instead trying get goal range
16qmian,k20kith,postgame penn defeats 310,box score provided team 1 2 3 4 iowafiowa00000 penn made rcfb,['rcfb'],"['williams', 'ohiostate2']",0 going help brian ferentz achieve 25 point average required save job point looking likely dad resigns end year order save face fire son
15mriw8,jviepu9,twittercom brettmcmurphy notre dame acc member sports pushing hard acc add stanford cal larrywilliamsti reports,nan,"['vanderbilt', 'middletennessee']","['williams', 'ohiostate2']",acc could dictated terms notre dame 2020 covid year either join permanently dont play teams leadership fumbled ball take nd
16k9n25,k0uzeo5,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",jesus christ confusing uniform matchup cfb history watched entire drive sound thinking fsu bc bc fsu
16k9n25,k0uzy7i,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",fsu week 1 make lsu look terrible fsu week 3 make bc look competent
16k9n25,k0v1rib,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",actually looked like db playing ball wr took weirdass path ran
17cih4k,k5rfgc0,mandel suspended connor stalions analyst named reports mastermind alleged signstealing scheme,,"['nebraska', 'northerniowa']","['williams', 'ohiostate2']",leads covert network spies film opponents signs group known wyld stallyns
16jmdcy,k0qvti5,work ncaa compliance ama,removed,[],"['williams', 'ohiostate2']",dont schools disband ncaa away rules
16eokoj,jzx4r6d,postgame defeats 3424,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['williams', 'ohiostate2']",tyler buchner gave notre dame degree hold clipboard
17nuooq,k7uqvpf,california 530,location oregonforegon autzen time 530 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",jeffrey bassas come long way days used worst starter
17nuooq,k7urwzq,california 530,location oregonforegon autzen time 530 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",guys anyone know whether bo nix tez johnson knew teammates dont think anyones answered question season
16bmohu,jzha8a7,kirk herbstreit calls psychotic standard ohio fans social media minds make high school players want play program,,"['michigan', 'fau']","['williams', 'ohiostate2']",herbstreit blowhard tries way hard objective opposite desmond tosus fans different sec teams fans whered get 15 number
17hunaa,k6qhqxh,schadenfreude flairs favorite college schadenfreude moments,schadenfreude enjoyment peoples misfortunes kind fits theme week im schadenfreude sign stealing stuff get older must admit energy hate reduces hate one week year say hate u still strong though 20 years ago remember vividly doubters claims athletes enough speed compete still enjoy ohio becoming good coral gables miami becoming bad,"['ohiostate2', 'lsu']","['oregon2', 'williams']",hard choose 2008 apple cup years miamigeorgia tech pretty much entire willie taggart era florida
16swab0,k2d68is,lou holtz walk back said ohio dan dakichs dont,thats choice understand holtz said doesnt want talk know 02 doesnt want talk big coming penn holtz said continuing needle hes great coach holtz said tuesday hes done tremendous job great offensive mind ohio states good team dont think theyre great team go wants honestly felt notre dame better physical im sorry coach day offended hope goes wonderful year dont think theyll great team really dont,"['wisconsin', 'bigpacc']","['williams', 'ohiostate2']",needs settled rap battle day holtz
18t420f,kfbylxl,hill die rooting conference absolutely cringe,born dolphins fan became fsu fan went someone nfl fan first idea rooting rival unfathomable bring bleach ever root patriots,"['floridastate2', 'floridacup']","['oregon2', 'williams']",cfp didnt kill bowl games bowls killed switching conference affiliations title sponsors time clue conferences play games names mishmash random businesses find really hard care
177dn6h,k4spnyn,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",watching bad stanford offense feels weird ive still got ptsd always trustfund qb standing behind five giant future pros lobbing balls army 65 tes
16knfug,k0xwrb2,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",csu team looks legit get boatraced washington home
16knfug,k0xzt82,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon2', 'williams']",sickos watching f1 race six hours
