post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvuwho,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",nobody phone sparks ask know
16ei5hq,jzvyce5,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",ewers got million dollars nil money ohio still wasnt enough make stay
16ei5hq,jzw8mhd,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",cant imagine stress welder submarine
16ei5hq,jzwayla,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",receivers conspiring make sure dont play starfield tonight catching anything keeping close
16ei5hq,jzwbi5q,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",hill going big problem couple years
17iov6h,k6w3ygq,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",occurred havent eaten anything day im even hungry though
17iov6h,k6w4ffw,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wilmington']",dude wasnt even involved stood lmao bum
17iov6h,k6w5jnu,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",first cold season really fucks hands
17iov6h,k6wkgog,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",team feels like team 2002 good news title bad news aged 20 years season
17iov6h,k6wkya8,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",still hold breath fair catches maybe ptsd
167kgm7,jyqja1z,miami oh miami 700,miami ohfmiamiohmiami oh location miamifmiami hard rock time 700 watch tv acc networklaccn odds spread mia 17 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['miamioh', 'ohiostate2']","['wilmington', 'ohiostate']",nobody like southern florida would people oxford
167kgm7,jyqprmg,miami oh miami 700,miami ohfmiamiohmiami oh location miamifmiami hard rock time 700 watch tv acc networklaccn odds spread mia 17 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['miamioh', 'ohiostate2']","['wilmington', 'ohiostate']",dumb penalty didnt refs blow whistle
167kgm7,jyqx96y,miami oh miami 700,miami ohfmiamiohmiami oh location miamifmiami hard rock time 700 watch tv acc networklaccn odds spread mia 17 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['miamioh', 'ohiostate2']","['wilmington', 'ohiostate']",performance based code giving money biggest brands
18w6kt1,kfx1dfz,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wilmington']",good fucking job go get ass beat washington nerds
169aftq,jz0u75a,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",les miles going make qb record practice skyjack next week
17nng42,k7sptey,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",buddy mine kid rutgers team hasnt played much year really hope see today
17df8ox,k5wbmaw,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['wilmington', 'ohiostate']",fans throwing shit minnesota bench makes feel bad
16q6owk,k1vbjul,rutgers 1200,location time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",im friends son plays rutgers current score bonus
16q6owk,k1vj83h,rutgers 1200,location time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",refs back day used indicate called timeout jersey color say school name wonder changed
16wjz1a,k2y43hj,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",hope nd puts away soon im hoping watch canelo later
16vrr41,k2sz8vo,utah 900,utahfutahutah location reser time 900 watch tv fox sports 1lfs1 odds spread utah 25 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",great friday night im happy
16vrr41,k2t2u5m,utah 900,utahfutahutah location reser time 900 watch tv fox sports 1lfs1 odds spread utah 25 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",thought ohio fans doomers utah fans another level 7 point first quarter crying loud
16kk406,k0x6p1t,bowling green 730,bowling green location time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",props home crowd team show respect
17sxef4,k8t4e8d,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",feel much better ohio states line seeing michigans holding
17sxef4,k8tqe21,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",least fans wont able complain refs
189go15,kbrhjlh,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wilmington']",first last play clear rtp
17debm7,k5wrcrb,duke florida 730,dukefdukeduke florida location florida doak campbell time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",florida flairs saw flairs throwing fit earlier thought top
17debm7,k5x158n,duke florida 730,dukefdukeduke florida location florida doak campbell time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",soon acc saw unc lose fsu started getting calls
16gtdpf,k0b7b3a,one injury teams history would go back heal given power,wasnt ducks fan time think time dennis dixon injury,"['oregon', 'oregonstate']","['ohiostate', 'wilmington']",keith beyers foot hes healthy season wins heisman
16qh8h1,k1x7wln,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wilmington', 'ohiostate']",live northern indiana soft spot nd guys support nd indiana university basketballpick school coward
16qh8h1,k1xbeu9,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wilmington']",anyone else hearing whistle way play done
