post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxp7ao,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",washington playing perfect right penix might best qb going draft year
17t7o6c,k8vrtar,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",guy maye keeps putting grass
183rfxa,kaqzrtu,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",bama might biggest point differential cfb tds count lol
183rfxa,kar2efy,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",arizona playing hate arizona got love rivalry week
183rfxa,kar31i6,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",call stand fat heads blocking camera views
183rfxa,karle7b,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",auburn got worst end hit pray hes okay
183rfxa,karnais,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",yelled fuck auburn 2 year old repeated
183rfxa,karndzx,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",shake auburn voodoo 10 year anniversary kick 6
18x4db5,kg210v0,penixs performance last night think first round qb,throws pocket nothing short spectacular hes probably top 5 deep ball college thrower ive ever seen evaluators seem think hes tier daniels maye williams ive seen penix good guys maybe outside williams caleb move pocket make things happen,[],"['alabama', 'wingate']",without injury history hes undoubtedly best qb cfb think hes level caleb startready qb draft year
18uo86j,kfmh5p3,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'wingate']",many wins fsu clemson first year outside acc
18uo86j,kfmhn8y,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",get kia capital one ads repeat want woke feelin cheeziest ad instead
18uo86j,kfmib77,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",get sicko flair watching whole
18uo86j,kfmibht,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",knew fsu mailed start ugly loss isnt really surprise makes even baffling excluded playoff literally one goal though
183xb5l,kas7jtt,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",theres one thing good finding creative ways lose games especially teams supposed beat nc specifically
183xb5l,kas8ovw,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",theres cool thing called defense stop team advancing ball wonder could try something like
183xb5l,kas98l1,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",looks like cant even figure formation theyre half plays
18sbres,kf6iukk,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",hurricanes heels play back back games tonight either going good night bad night
18sbres,kf6s2ki,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",fully expect lose ill feel much better somehow manage win
18sbres,kf7fs7j,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",play defense 10 yards end zone
18sbres,kf7grfj,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",trying run time clock feels like youd wanna fight
18sbres,kf7h2by,dukes mayo bowl west virginia north carolina 530,west virginia north carolina location bank america time 530 watch tv espnlespn espnlespn odds spread wvu 65 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",bro stop talking penetrator mouth full mayo
17fejum,k69d963,fans react connor stalions report mean harbaugh,nan,"['michiganstate', 'otemongakuin']","['alabama', 'wingate']",army say youre cheating youre trying usually also followed rank handle privates get caught said cheating yeah knew nothing michigans stance pure ignorance
16keh7j,k0vrqd0,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'wingate']",feel like gonna fake cocks went prevent
16keh7j,k0vstzn,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'wingate']",cant complain result juice injury hold call 70 guess ill take 73
16keh7j,k0w0czy,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'wingate']",long time gamecocks fan word wise fans theyre calling short throw plays quarterback cant push ball downfield
18w6kt1,kfw6hm0,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",0 aint really athlete piss leg watches man run away like daddy
18w6kt1,kfwrivf,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",jj going win arm
18w6kt1,kfwv0g7,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",havent called single facemask either team usually im okay calls long fair sides facemasks dangerous called 100 time
183w2c9,karuhco,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",fsu fans came today wanting lose alabamas gain however uf fans obnoxious hope yall fry gator tonight
183w2c9,kas44hw,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",cant believe bears fans trying convince draft maye hes terrible rn nc
183w2c9,kasfs00,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",way mom would fighting florida defenders
1621ag8,jxvhoxz,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['northcarolina', 'wingate']",without watching im gonna take wild swing guess theres least 30 point differential right
17sd1ye,k8p2cp5,sources big ten expected discipline inperson scouting ongoing sign stealing investigation prohibit jim harbaugh sideline conclusion regular season allowed coach week,,"['georgia', 'cfp']","['alabama', 'wingate']",im harbaugh im leaving nfl dude must annoyed also sec highly doubt anything would imposed
1836rhr,kanmorg,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",ive watched last 2 weeks play calling always like extremely questionable
168fxcn,jywm7gl,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['northcarolina', 'wingate']",tech tried play wyoming qb got bodied lmao
168fxcn,jywmlga,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['northcarolina', 'wingate']",qbs gonna work drop helmets duke center logo 1v1 last qb standing takes win team
168fxcn,jywnxv9,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['northcarolina', 'wingate']",wyoming wins super bowl something like anyway
17nxpm2,k7vfv3f,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",best pac impression bama lsu
17nxpm2,k7vg6so,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",went worst offense ive seen decade best one season roll tide
17nxpm2,k7vgjmd,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",pac outpacing us td air
17nxpm2,k7vh5bh,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",jaylon daniels doesnt call number run every 3rd long rest lsu throwing
17nxpm2,k7vj12d,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",really beef lsu love going home away yall im always treated well lsus house tennessee west fuck
17nxpm2,k7vjldc,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",sorry lsu bros shouldve called yall honestly hate yall
17nxpm2,k7vknrm,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'wingate']",truly dont think malicious intent hit however targeting needs booted
16ac19x,jz6q9ch,really going clemson,win lose clearly issues go beyond new qb lots busts offense culture poor coaching stale program recruiting ok elite need high hit rate really special imo need take serious look program looked rated sp even close championship team looks 3 years row,[],"['northcarolina', 'wingate']",dabo refuses use transfer portal every school acc fully takes advantage simple prefers old fashioned way straight recruitment gave years success catching
17o0i1u,k7vyyma,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",wonder shadeur sanders ranks dads favorite child list last games
17o0i1u,k7vz933,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",miss pac 12 one quite like better worse lmao
17o0i1u,k7w0uqd,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'wingate']",time bed goodnight college love see time place next weekend
