post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1728ec3,k3vaje2,rutgers wisconsin 1200,location camp randall time 1200 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinlacrosse']",hype new receivers feels like none playmakers dike still easily best group
1728ec3,k3vgf27,rutgers wisconsin 1200,location camp randall time 1200 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinlacrosse']",team zero fun watch sure excited
17iov6h,k6w9hkd,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinlacrosse']",blacledge doesnt understand 1 minute enough time gain 1 yard
17iov6h,k6wjl5c,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinlacrosse']",mhj doesnt mouth guard running play
1621ag8,jxvj6pg,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['wisconsin', 'wisconsinlacrosse']",since nil stuff probably never getting repealed theres way navy ever beats nd right unless us government decides worth invest college sports teams nd somehow becomes perpetual dumpster fire
16ep8jz,jzwqofg,postgame washington defeats wisconsin 3122,box score provided team 1 2 3 4 washington made rcfb,"['washingtonstate', 'oregonstate']","['wisconsin', 'wisconsinlacrosse']",luke fickell fraud cant believe dumped jim leonhard clown knew idiot week 1 wearing vest long sleeves 100 degree weather
15lzang,jvdm4y4,unpopular opinion hot take deals cfb,ill go first guess johnny manziel good player propped mike evans better everyone cover whats hot take opinion,"['alabama', 'sec']","['wisconsin', 'wisconsinlacrosse']",paul chryst sabotaged graham mertz shitty luke fickell downgrade
166eu9p,jylnjdy,college better good argument,see statement almost always former powers fallen miami usc great grew wouldnt college better teams like kansas rutgers vandy good dont want parity old powers regaining seat feels like cfb better little guys rise success,['pittsburgh'],"['wisconsin', 'wisconsinlacrosse']",notre dame good conferences speak join conference show general pride group
189ybx5,kbu4k3t,final cfb playoff rankings 202324,1 2 washington 3 4 first two 5 florida 6 per cfb playoff selection show,"['oklahoma', 'redrivershootout']","['wisconsin', 'wisconsinlacrosse']",sec superiority complex im sick hearing 4 best teams thats loophole get favorite conference playoff acc rights cfp sec
183rfyl,karlahm,wisconsin minnesota 330,location huntington bank time 330 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsinlacrosse', 'wisconsin']",gophers gonna let us cut goalposts gonna throw fit
17nng89,k7tprxz,wisconsin indiana 1200,location indianafindiana memorial bloomington time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinlacrosse']",met point contact uh yep thats kinda works
16eiwlx,jzvvbib,wisconsin washington 730,washington location washington martin time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['washingtonstate', 'oregonstate']","['wisconsin', 'wisconsinlacrosse']",obviously hope kitchens ok justify televising actual right
16eiwlx,jzw2mui,wisconsin washington 730,washington location washington martin time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['washingtonstate', 'oregonstate']","['wisconsin', 'wisconsinlacrosse']",one dumbest wisconsin teams ive ever watched already
16eiwlx,jzw5bpm,wisconsin washington 730,washington location washington martin time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['washingtonstate', 'oregonstate']","['wisconsin', 'wisconsinlacrosse']",good know coaches didnt watch single minute film guys
16qmsua,k1y3844,osu hc ryan day postgame response comments made former notre dame hc lou holtz,,"['navy', 'gansz']","['wisconsin', 'wisconsinlacrosse']",see everyone hates ohio getting panties bunch 86year old dementia
15wayts,jwzvx8p,2 favorite teams would 2 play,2 favorite teams cincinnati met 2017 smoked bearcats 3614,[],"['wisconsin', 'wisconsinlacrosse']",would interesting see graham mertzled offense division 3 uwla crosse defense stoppable force meets moveable object
16pms5i,k1si8gb,wisconsin purdue 700,location purduefpurdue rossade time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinlacrosse']",wild many people idea pass interference
