post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16we4lx,k2x74x1,illinois purdue 330,location purduefpurdue rossade time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'wisconsinstevenspoint']",one getting awful jack links pissing commercial
18wbuu4,kfxlxa7,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsinstevenspoint', 'bowlinggreen']",man cant believe late east coast folks im west coast kinda thinking bed
17q3a8o,k8ak7b6,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],"['wisconsin', 'wisconsinstevenspoint']",knowing another teams signals isnt rules osu good team
168gmpf,jyvrgol,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['purdue', 'wisconsinstevenspoint']",purdue vt serious sickos potential im pumped able go also pumped love vt
16cvipo,jzmjwqs,favorite uniforms every p5 conference,title suggests subjective opinion best dressed team p5 conferences ill go precrazy realignmen mine acc definitely florida st garnet gold immaculate timeless helmets iconic big 10 biased think top bottom best dressed conference many iconic classic looks thst said penn st clean perfect colors pop aways damn near perfect big 12 quite possibly best look time away storm trooper look absolutely beautiful pac12 theme far simplicity classic looks way say theyve challenged new looks never missed current sets every look incredible sec second best dressed conference hardest choose tie lsu auburn auburn best overall design looks fitting era fcs shoutout best look school harvard crimson creams insanely gorgeous,[],"['oklahoma', 'wisconsinstevenspoint']",anyone pick uniforms huge box crayons colors say pennst know mean socalucla color color maryland could play different uniform every quarter nobody would notice didnt use combo twice
18w6kt1,kfwtzbn,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'wisconsinstevenspoint']",winning championship games name iconic duo
171e59y,k3sy2yw,since im sucker nostalgia schools team played,nebraska 1st place long time year kstate take 1 currently 1a 1b nebraska kstate 106 meetings 2 mizzou 104 meetings 3 kansas 102 meetings 4 89 meetings 5 70 meetings 6 colorado 65 meetings 7 58 meetings,"['iowastate', 'big8']","['oklahoma', 'wisconsinstevenspoint']",hold youre telling iowast played ou almost 20 times colorado 5 times less
16e7v2e,jzu6cga,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['purdue', 'wisconsinstevenspoint']",lightning hitting near really blows weathermen really dropped ball isnt safe
16e7v2e,jzua74z,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['purdue', 'wisconsinstevenspoint']",vt need get proper nuclear engineering program someday teach
16e7v2e,jzum2sc,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['purdue', 'wisconsinstevenspoint']",left might waited closed concession stands id rather relax home
168ljy6,jyy6423,postgame defeats baylor 4231,box score provided team 1 2 3 4 made rcfb,"['louisiana', 'hirosaki']","['purdue', 'wisconsinstevenspoint']",thank baylor taking heat us
182v9ux,kalvio4,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinstevenspoint']",weve officially passed 51 matt rhule sightings second half drink1
182v9ux,kalwgjr,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinstevenspoint']",58 official ruling matt rhule drinking finished 5 drinks based matt rhule sightings alone
160cmsh,jxlw6hf,inconference teams generally root favorite team,western fan acc answers would syracuse pittsburgh theyve conference foes ever since kid ive gained soft spot old big east especially basketball digress conference usa harder nail since five nine teams returning may bit cheat ill give nod former conference foes marshall uab love history behind marshall seeing uabs program rise ashes team 20142017,[],"['oklahoma', 'wisconsinstevenspoint']",big812 traditionally want win rivals lose occasionally nice see team well traditionally doesnt even finds lightning bottle nobody wants well iowast close gets team everyone likes new big12 everyone singing kumbayaat moment baylor still doesnt like tcu utahbyu hate real zonaazst still exists kstkansas itll funny ifwhen okst gets big bad everyone hates
16x9pgh,k32xrct,feeling rest season week 5,speaking think likely drop two likely figure activate death machine mode first loss could come soon weekend certainly 20 kentucky rolling florida ole miss tennessee also shouldnt counted beck rallying first road test jhs less encouraging inexperience qb defense injuries threepeat hinge long takes team synthesize starting get critical pieces back ladd javon mykel could matter time,['georgia3'],"['purdue', 'wisconsinstevenspoint']",im totally sold us missing bowl season team bad rest big ten west isnt exactly threatening moment could win 4 lose predictable best guess go 57 48 need realistic preseason expectations completely line
193l4wc,khb0xm5,pete thamel likely internal replacements heres quick projected target list dan lanning kalen deboer dabo swinney james franklin mike norvell marcus freeman,agent season upon us,"['notredame', 'vanderbilt']","['purdue', 'wisconsinstevenspoint']",hire james franklin bama loses tennessee auburn every year tennessee fan wish 3rd flair id take
17yj89b,k9ufanv,nebraska wisconsin 730,location camp randall time 730 watch tv odds spread wis 6 overunder 365 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinstevenspoint']",must faith goal kicker going forth 30 3pt leadtwice
17yj89b,k9uig53,nebraska wisconsin 730,location camp randall time 730 watch tv odds spread wis 6 overunder 365 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinstevenspoint']",badgers really wishing kicked goal one 4th downs 30
1781x7x,k4wyia6,postgame defeats wisconsin 156,box score provided team 1 2 3 4 iowafiowa070815 made rcfb,['rcfb'],"['purdue', 'wisconsinstevenspoint']",think purdue lost teams next year add four ranked pac12 teams dog never going bowl im gonna stick basketball start cheering graduate school
188qre7,kbmu0rc,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'wisconsinstevenspoint']",95 best joke night still lot gameleft really closer washington favorite
191zla4,kgzo3td,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsinstevenspoint', 'bowlinggreen']",forgot woodson wore 2 college im used seeing 24 21
16fuy9q,k075avq,cheating prior nil,much cheating really went college prior introduction nil cheating mean recruitmentlike heard cam newton supposedly got 250k payforplay deal something mcdonalds bags cash tennessee etc perhaps coaches bigtime programs felt necessary cheat stay competitivehow rampant really feel like probably happened routinely across power 5 boardcan anyone cite historical cases came light,"['georgia', 'cfp']","['wisconsin', 'wisconsinstevenspoint']",know kid home town got charger think charger unofficial booster club local d1 school relatively common knowledge fucked grades amd couldnt go d1 school went msu instead would say pretty blatant effective 100 going school got car
183te17,karbhmx,former ohio rb maurice clarett ryan day love bro gotta go youre paid millions cant get paid 9ms lose 3 straight,,"['michigan', 'fau']","['purdue', 'wisconsinstevenspoint']",fire day say move walters dc make day head coach sorry walters
16doerv,jzrfcp8,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['purdue', 'wisconsinstevenspoint']",tbh im sure saw head turn everyone else mentioned im saying isnt targeting thoughts
16qh8h1,k1xu8ua,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinstevenspoint']",ill never understand handing ball guy 3 yards behind los need foot 4th
16ddi8y,jzpc9bj,whats weirdest crowd atmosphere youve ever,2017 stanford beat biblical proportions cardinal ducks biggest cheer home crowd fucking rabbit took ran around 20 minutes bryce love ran 147 yards 2 scores stanford crowd barely made peep rabbit comes 30 everyone goes wild,"['michigan2', 'bowlinggreen']","['oklahoma', 'wisconsinstevenspoint']",2005 oukansasst didnt let people leave halftime explosion many didnt hear little explanation weird feel bad kid
166pzeu,jylp49m,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['purdue', 'wisconsinstevenspoint']",nebraska fans first new coach relax btw us purdue fans thinking teams
1689xyu,jyuug9g,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['purdue', 'wisconsinstevenspoint']",serious question hell big ten year
183mtar,kapy7cy,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'wisconsinstevenspoint']",purdue iu interception missed goal osu punt punt punt punt really makes think maybe fun bad
16a716p,jz6l2ez,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['purdue', 'wisconsinstevenspoint']",dont know acc well duke supposed good major upset
167l7hn,jyr0r68,tech louisville 730,tech location mercedesbenz time 730 watch tv espnlespn odds spread lou 8 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['georgiatech'],"['purdue', 'wisconsinstevenspoint']",want brohm succeed yes helped get purdue cfb basement enjoying perhaps
167l7hn,jyrdzgy,tech louisville 730,tech location mercedesbenz time 730 watch tv espnlespn odds spread lou 8 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['georgiatech'],"['purdue', 'wisconsinstevenspoint']",antibig ten west gas brakes seriously thought going low scoring one point
165jjly,jyeftvw,week 1 matchup preview 5 lsu tigers 8 florida seminoles,5 lsuflsu 8 florida sunday september 3 0730 eastern camping world orlando watch abclabc odds lsuflsu 25 pts total points 560 alltime series lsuflsu florida lsuflsu florida met 10 times since 12301968 teams last met 360 days ago 09042022 series wins lsuflsu 208 florida longest streak continuous meetings 5 19791983 florida last 5 meetings 19832022 series last 5 meetings florida orleans la2324 florida rouge la1627 florida fl342 florida rouge la2131 florida rouge la3540 series comparison data via lsuflsu injury report data scraped 20230830 100011 maason smithdtelig sept 9 suspensionfri aug 25smith suspended ncaa due violating league rules likely make season debut sept 9 versus grambling logan diggsrbques sun hamstringmon aug 28diggs nursing hamstring injury remains seen available sundays showdown versus florida josh williamsrbprob sun undisclosedmon aug 28williams managing undetermined issue anticipated take florida sunday armoni goodwinrbdoub sun undisclosedmon aug 28goodwin tending unknown ailment unlikely face florida sunday landon ibietawrdoub sun undisclosedtue aug 29ibieta injury unlisted location leaving availability season opener versus florida doubt injury data lifted florida injury report data scraped 20230830 100011 darrell jackson jrdlout season eligibilitytue aug 8jackson jr hardship waiver request denied ncaa sit entire 2023 season ja khi douglaswrout indefinitely undisclosedmon aug 28douglas idle unspecified issue miss undetermined length time injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['cincinnati', 'oklahomastate']","['purdue', 'wisconsinstevenspoint']",one understanding lsu hype ill admit dont know enough either think lsu high fsu low
160ky27,jxn76jd,college fan approach nfl,longtime relationship nfl team regardless cfb fandom switch around based nfl draftsstarts teams guys,['alabama'],"['oklahoma', 'wisconsinstevenspoint']",many nfl fans team leave threaten except packers gods team ever one nfl college teams arent leaving new city loyal life
17lco7a,k7d8j99,paul finebaum calls inexcusable big ten hasnt punished jim harbaugh,nan,"['ohiostate', 'toledo']","['purdue', 'wisconsinstevenspoint']",think inexcusable clown still gets platformed
171qilp,k3t3nec,nebraska illinois 800,location memorial champaign il time 800 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'wisconsinstevenspoint']",havent able watch purdue fan feel nebraska
189ybx5,kbuap8t,final cfb playoff rankings 202324,1 2 washington 3 4 first two 5 florida 6 per cfb playoff selection show,"['oklahoma', 'redrivershootout']","['purdue', 'wisconsinstevenspoint']",whats ironclad acc grant rights absolute nuclear meltdown rightfully going tallahassee right
166w2i8,jyma2o5,postgame minnesota defeats nebraska 1310,box score provided team 1 2 3 4 made rcfb,"['minnesota', 'delaware']","['purdue', 'wisconsinstevenspoint']",big ten west big ten mess like last year huh
16eiwlx,jzwmlfb,wisconsin washington 730,washington location washington martin time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['washingtonstate', 'oregonstate']","['wisconsin', 'wisconsinstevenspoint']",symbol interstate cooperation states start w could score touchdown america
164k4x7,jy8o5f1,anyone ever attended national championship team lost,question stems attending ohio last year im really sure look back obviously cool takes pretty severe hit bc buckeyes lost ever national championship team lost look back experience,['ohiostate2'],"['oklahoma', 'wisconsinstevenspoint']",2003 big12 championship rough friends lost tickets way parking lot buy another scalped set seats way high wind cold arrowhead darren sproles seemed unstoppable still glad gone 2004 much warmer better result 2004 sugar bowl good days new orleans great days immediate post wow lsu fans shitty never encountered worse fandom
15i05hc,jurcqiu,auerbach breaking washingtons exit pac12 big ten appears lost momentum overnight multiple sources tell theathletic,,['georgia2'],"['purdue', 'wisconsinstevenspoint']",fan yesterday think illinois purdue maryland indiana rutgers probably really really grateful theyre getting paid waaaaaaay worth rock boat hard lmao eat shit
15k6ztw,jv3ulj6,scheer hearing san diego preliminary talks big 12 last 48 hours key word preliminary would discounted rates,link,"['ucf', 'usf']","['purdue', 'wisconsinstevenspoint']",theres way wazzu would get shut like right pull tv numbers osu offense beavers
15wayts,jwzzod4,2 favorite teams would 2 play,2 favorite teams cincinnati met 2017 smoked bearcats 3614,[],"['purdue', 'wisconsinstevenspoint']",despite flairs 2 team tennessee go graduate school lets say music city bowl ton fun
16pms5i,k1svb7w,wisconsin purdue 700,location purduefpurdue rossade time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'wisconsinstevenspoint']",one defensive players gave mockobee defender covering give yet play still goes
16pms5i,k1sw54a,wisconsin purdue 700,location purduefpurdue rossade time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'wisconsinstevenspoint']",fumble recovered 26 wisconsin start 13
16pms5i,k1swjwz,wisconsin purdue 700,location purduefpurdue rossade time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'wisconsinstevenspoint']",stopped watching last wisconsin td happened refs
18wd5xz,kfx1et2,postgame defeats 2720 ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['purdue', 'wisconsinstevenspoint']",b1g b1g b1g ignore making snide comments
