post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
183rfxa,karfbhg,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'wrightstate']",sweet beautiful chaos open legs give cunnilingus
183rfxa,karlnex,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'wrightstate']",auburn practically giving away bama 3rd 20
1728e91,k3vg4xh,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wrightstate']",saying season ohio states dline super overrated ttun going obliterate theres significant improvement
1728e91,k3vlzhm,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wrightstate']",buckeyes bengals offense apparently insanely difficult concept grasp season
185xz7e,kb4tpo0,ohio fan want actually bad season near future,think ohio fans average maybe worst spoiled grew watching west virginia might worst 84 team power 5 conference year 84 im actually pretty hype meanwhile seems like orange bowl appearance rose bowl win 2 years ago disappointing buckeye fans shit absolutely insane anyone else roots team consistent success like ohio etc ever wished team would losing season went minnesota every time mccord threw incompletion thousands college students grownass adults yelling fuck touchdown celebrations shoe lame year everyone way high expectation team id legitimately fine went 39 next year meant osu fans could shut enjoy 102 season like rest college fans,"['ohiostate', 'westvirginia2']","['ohiostate', 'wrightstate']",hang onyou grew wvu fan youre osu fan
17iov6h,k6w4lo2,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wrightstate']",mccord reminds andy dalton sometimes great throws sometimes makes wtf throws
17iov6h,k6w5r4n,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'wrightstate']",going take buzzsaw b10 cheating jokes aside
17iov6h,k6w8god,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'wrightstate']",god competent team would steamrolling osu right smh
17nng42,k7th2sm,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wrightstate']",osu dline overrated unit country jtt apparently invisible everyone named penn
17nng42,k7tpsyo,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'wrightstate']",lol bama fans talking trash cant even get ranked top 5
182v9ux,kalw4x4,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'wrightstate']",makes 245 ou win crazy
1735e54,k41up5o,ap poll 1082023,nan,"['minnesota', 'delaware']","['georgia', 'wrightstate']",looking forward sec championship smh
