post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
183rfxa,karg0x8,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",hugh freeze jordan hare combo like rapture saban needs mulzan assistant
183rfxa,karhxju,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",cbs best camera work hands b1g really upgrading getting 330 cbs slot idc commentating cbs way making games feel special fox felt like high school compared
183rfxa,karisax,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",theyre afraid go call
183rfxa,karjb3n,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",refs call easiest face mask time instead whiff call made thousand makeup calls
183rfxa,karlf4o,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",insane stop stop bama play year book
183rfxa,karlzbd,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",tosses 4th scary great play design
183rfxa,karma0e,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",man clock got drained quarter went fast
183rfxa,karnd7o,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",2 man rush front 30that isnt hail mary insane
183rfxa,karnien,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",rush 2 worst play call ever seen
172dat6,k3vyd2n,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'yahoo']",lets see post bye noles show today
172dat6,k3wdl6c,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'yahoo']",bye week much needed boys sharp today
172dat6,k3wg8nt,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'yahoo']",say roughing call gave vt first first
172dat6,k3wgtgq,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'yahoo']",taylor swift fartin around capital one lounges gonna run
17mf1p1,k7ksp9k,tcu tech 700,tcuftcutcu tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texastech', 'yahoo']",ttu dont got know 3 margs got
18uo86j,kfm41ly,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'yahoo']",bowls trash hopefully expanded playoff bring motivated teams postseason next year
17esjzd,k65pzuz,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['floridastate', 'yahoo']",pure irony finally get good harbaugh theyll fire evidence clear cut dont see wont get multiyear post seasons scholarship reductions
16k9n25,k0uuop9,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'yahoo']",boys playing flaaaaaat bc trying keep short working far
17nng69,k7ttlr7,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",3n1 shotgun draw literally tush push never understand shotgun play 4th short 4 yards back go one foot forward
18581f9,kb02jit,axelrod correct ohio promoted day two years removed fired nfl qbs coach carry momentum tresselmeyer eras two years reality caught osu crossroads comes deciding whether wants remain elite program,nan,"['ohiostate2', 'mountunion']","['floridastate', 'yahoo']",hope fire solely osu deserves humbled last championship year went hell back dont think osu realizes lucky
16jmdcy,k0rnd8f,work ncaa compliance ama,removed,[],"['floridastate', 'yahoo']",might dumbest idea ama everthis go well
169aftq,jz0p6qy,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",watching abc sitcoms money laundering
169aftq,jz0rrza,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",legitimately like brian kelly elegant bill parcells
169aftq,jz1503a,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",cant play little sister poor god damn lsu games wars
169aftq,jz17b7u,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",jesus games battles happy dont play lsu next year
169aftq,jz17p2j,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate2', 'yahoo']",fsu lucky 3 jameis better zoom locker room giving halftime speech need ole miss energy right
169aftq,jz1dd1h,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",must great neutrals im dying lol
169aftq,jz1fqda,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",norvells playcalling great scheming around lsus advantage line scrimmage
169aftq,jz1i3ma,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",waiting use bell plan
169aftq,jz1ke0u,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'yahoo']",ok lets keep first team lol q true freshman
15o68ro,jvqkbe4,would 10year ago think told last decade gone favorite team,id shocked butch jones left bowl 2012 dantonio kelly done prior big east collapsed joined american conference 2013 season tell new head coach tommy tuberville would start backtoback 94 seasons go 1114 last two seasons manage piss entire fanbase way id confidence things would turn around soon tell next head coach luke fickell went 48 first season id dejected would absolutely lose mind think im lied hearing wed rattle seasons 112 113 91 131 94 going 48 2016 2017 backtoback ny6 bowls including first ever g5 team make cfp wouldve sounded impossible id certain lied tell 2013 first year american conference decade wed big 12,"['cincinnati', 'ohiostate']","['texastech', 'yahoo']",pretty shocked kliff supposed prodigal son returning home
16ac19x,jz6ubks,really going clemson,win lose clearly issues go beyond new qb lots busts offense culture poor coaching stale program recruiting ok elite need high hit rate really special imo need take serious look program looked rated sp even close championship team looks 3 years row,[],"['floridastate', 'yahoo']",dont confident qb plain simple cade dreadful tonight amount playcalling scheme fix think people reading crappy clemson team much cfb talent clemson minimum manager qb clemson poor qb room killed jimbo fsu going clemson
